sku,model,winning_origins,mean_winning_loss
YJX0023,MA4_proxy,2,0.0
YJX0024,MA4_proxy,2,0.0
YJX0025,MA4_proxy,1,0.0
YJX0025,Naive,1,0.0
YKLLW0004,MA4_proxy,2,0.0
YKLLW0005,MA4_proxy,2,0.0625
YKLLW0006,MA4_proxy,2,0.0625
YXBLJ0001,MA4_proxy,3,0.3333333333333333
YXBLJ0001,Naive,2,0.3125
ZBTZ0002,Naive,3,0.625
ZBTZ0002,MA4_proxy,2,0.25
ZBTZ0003,MA4_proxy,4,0.3125
ZBTZ0003,Zero,1,0.25
ZJJSJBV001AMDE,MA4_proxy,1,0.0
ZJJSJBV001AMDE,Naive,1,0.25
ZJJSJSV001AMDE,MA4_proxy,2,0.0
ZJJYZBV001AMDE,MA4_proxy,1,0.0
ZJJYZBV001AMDE,Zero,1,1.0
ZJJYZSJBV1AMDE,MA4_proxy,2,0.0
ZJJYZSJSV1AMDE,MA4_proxy,2,0.0
ZJJYZSJSV2AMDE,MA4_proxy,2,0.0
ZTD0001,MA4_proxy,3,0.75
ZTD0001,SES,1,1.5104201132536517
ZTD0001,Zero,1,1.25
ZTD0003,MA4_proxy,2,2.875
ZTD0003,ADIDA2,1,0.5000000074883222
ZTD0003,Naive,1,0.0
ZTD0003,Zero,1,0.625
ZTD0004,MA4_proxy,2,0.0
xgx0013,MA4_proxy,1,0.125
xgx0013,Naive,1,0.5
xgx0014,MA4_proxy,1,1.125
xgx0014,Naive,1,1.625
xgx0015,ADIDA2,1,2.1249999971957414
xgx0015,Zero,1,1.25
xgx0016,Naive,2,1.0625
xymzd0015,MA4_proxy,1,0.875
xymzd0015,Naive,1,0.25
xymzd0016,MA4_proxy,2,0.0
zxy0002,MA4_proxy,2,0.0625
