origin_index,cluster,model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume
3,2,Naive,39.0,39.0,5.435286535651376,3.477272727272727,0.23076923076923078,0.9166666666666666,2.03488005050505,1.0,1.1916666666666667,-0.36666666666666664,240.0
3,2,SES,39.0,39.0,5.484398095286131,3.477272727272727,0.1282051282051282,0.9212377448925008,1.8829574388602142,1.0002803572939514,1.197609068360251,-0.2451270880167649,240.0
3,2,Zero,39.0,39.0,3.958820779185621,2.833333333333333,0.2564102564102564,0.7692307692307693,1.0,1.0,1.0,-1.0,240.0
4,0,ADIDA2,51.0,19.0,3.2515232808739714,1.041666660426398,0.3684210526315789,0.995457356301757,1.275125495819626,1.0,1.0308289374901443,-0.5872848140413419,394.0
4,0,MA4_proxy,51.0,19.0,3.2891034404192303,1.0863095238095237,0.3684210526315789,0.9485294117647058,1.2310390013495276,1.0,0.9822335025380711,-0.5380710659898477,394.0
4,0,Naive,51.0,19.0,3.075490573023468,1.130952380952381,0.47368421052631576,1.0343137254901962,1.624088888888889,1.0,1.0710659898477157,-0.4517766497461929,394.0
4,0,SES,51.0,19.0,3.261202114396298,1.0221777410529795,0.47368421052631576,1.012887085978475,1.611378820603079,1.0,1.0488779976629896,-0.33786489406158376,394.0
4,0,Zero,51.0,19.0,2.856192327409433,0.8333333333333334,0.631578947368421,0.9656862745098039,1.0,1.0,1.0,-1.0,394.0
4,1,ADIDA2,53.0,53.0,3.726711430724605,2.1045921600710438,0.22641509433962265,4.1496152864313745,4.027736692100871,0.9918123658283554,0.852440349538228,0.01310801196232987,2064.0
4,1,MA4_proxy,53.0,53.0,3.603226848897506,2.104591836734694,0.24528301886792453,4.121546495956873,3.370386193307256,1.0,0.8466742801771872,0.08432539682539682,2064.0
4,1,Naive,53.0,53.0,3.5515313626607465,1.674222797927461,0.33962264150943394,4.278301886792453,1.4401538630539241,1.0,0.8788759689922481,0.14728682170542637,2064.0
