feature_set,n_features,k,n_skus,valid,error,silhouette,calinski_harabasz,min_cluster_size,max_cluster_size,cluster_sizes,stability_ari_mean,stability_ari_median,stability_ari_p10,stability_ari_p90,cluster_jaccard_medians,sensitivity_pareto,confirmatory_eligible,confirmatory_pareto
ADI+CV2+nonzero_mean,3,5,197,True,,0.2841090931340866,110.90207953841156,12,59,1:59;2:12;3:39;4:42;5:45,0.5970706773353072,0.5925434355952395,0.3970997981437453,0.8112983148624049,"{""1"": 0.42857142857142855, ""2"": 0.825, ""3"": 0.788353863381859, ""4"": 0.5319148936170213, ""5"": 0.43167701863354035}",False,True,False
ADI+CV2+nonzero_mean,3,6,197,True,,0.303671234393815,105.84968939117375,8,59,1:59;2:12;3:39;4:34;5:8;6:45,0.6037048056948949,0.5966611218802178,0.37643518235913304,0.8124353013427904,"{""1"": 0.7948717948717948, ""2"": 0.44010043041606883, ""3"": 0.7244472256987902, ""4"": 0.6410256410256411, ""5"": 0.6961538461538461, ""6"": 0.4666666666666667}",False,True,False
ADI+CV2+acf1,3,2,197,True,,0.293440886106354,88.86358650358822,67,130,1:130;2:67,0.6040929205755773,0.5821159074927653,0.3998118768476998,0.8540014431232574,"{""1"": 0.8375026057952888, ""2"": 0.7215189873417721}",False,True,False
ADI+CV2+acf1,3,3,197,True,,0.2819136966712252,84.03074399732249,43,87,1:87;2:43;3:67,0.5768733484607899,0.5888116784805806,0.30255107370260437,0.826288207718517,"{""1"": 0.7831962397179788, ""2"": 0.7236842105263158, ""3"": 0.6756756756756757}",False,True,False
ADI+CV2+acf1,3,4,197,True,,0.25884253163386783,80.0503312110841,41,67,1:46;2:41;3:43;4:67,0.5357959725163464,0.5179215560491788,0.40840830270937,0.687023859573645,"{""1"": 0.6106403013182675, ""2"": 0.12403846153846154, ""3"": 0.7878787878787878, ""4"": 0.58}",False,True,False
ADI+CV2+acf1,3,5,197,True,,0.2533758667664874,81.96122032345674,15,52,1:46;2:41;3:43;4:52;5:15,0.5923869785236218,0.5814866592967287,0.4403204362411276,0.765720428073315,"{""1"": 0.5, ""2"": 0.6285714285714286, ""3"": 0.8, ""4"": 0.8611111111111112, ""5"": 0.5240274599542334}",False,True,False
ADI+CV2+acf1,3,6,197,True,,0.2509271055384887,78.98779603086734,14,46,1:46;2:41;3:43;4:38;5:14;6:15,0.6423365449900621,0.641040718465075,0.510949392031489,0.7743720157984452,"{""1"": 0.631578947368421, ""2"": 0.9166666666666666, ""3"": 0.7567567567567568, ""4"": 0.5909090909090909, ""5"": 0.80625, ""6"": 0.7692307692307693}",False,True,False
ADI+CV2+mean_sales+median_sales,4,2,197,True,,0.3847069564708666,149.36084142458813,90,107,1:107;2:90,0.29659983603383816,0.04430374584824798,0.013622763561451747,0.9745199637650301,"{""1"": 0.27906976744186046, ""2"": 0.5447761194029851}",False,False,False
ADI+CV2+mean_sales+median_sales,4,3,197,True,,0.4716134058128282,240.88271926319737,28,90,1:28;2:79;3:90,0.7468869887964589,0.748077699406793,0.5074379586877539,1.0,"{""1"": 0.854365500176741, ""2"": 0.8125, ""3"": 1.0}",False,False,False
ADI+CV2+mean_sales+median_sales,4,4,197,True,,0.39919658532194935,210.34672601243324,18,79,1:28;2:79;3:72;4:18,0.626869854335221,0.5928719985377536,0.41673542140163716,0.9335980039642237,"{""1"": 0.7936507936507936, ""2"": 0.5682665424044735, ""3"": 1.0, ""4"": 0.3614066193853428}",False,False,False
ADI+CV2+mean_sales+median_sales,4,5,197,True,,0.3181360666258635,195.94828184637902,18,72,1:28;2:30;3:49;4:72;5:18,0.5638388047732461,0.5138705450090408,0.4247412902125523,0.7944346673633208,"{""1"": 0.5954913880445796, ""2"": 0.526997578692494, ""3"": 1.0, ""4"": 0.41801075268817206, ""5"": 0.35}",False,False,False
ADI+CV2+mean_sales+median_sales,4,6,197,True,,0.3388321773593687,187.3977695044507,18,72,1:28;2:18;3:30;4:31;5:72;6:18,0.533905457608447,0.47555199432662154,0.4052378164862124,0.7481890503304167,"{""1"": 0.4361592142672525, ""2"": 0.6666666666666666, ""3"": 0.34375, ""4"": 0.4827586206896552, ""5"": 0.32971014492753625, ""6"": 1.0}",False,False,False
ADI+CV2+mean_sales+std_sales,4,2,197,True,,0.4433001996847978,231.39699969939994,92,105,1:92;2:105,0.6146131303099455,0.6113416752478131,0.22440288814180612,0.9745221767872669,"{""1"": 0.8117647058823529, ""2"": 0.8085106382978723}",False,True,True
