feature_set,n_features,k,n_skus,valid,error,silhouette,calinski_harabasz,min_cluster_size,max_cluster_size,cluster_sizes,stability_ari_mean,stability_ari_median,stability_ari_p10,stability_ari_p90,cluster_jaccard_medians,minimum_cluster_jaccard_median,structural_eligible,pareto,analysis_mode,registry_sha256
ADI+CV2+peak_ratio+trailing_zero_share+trend_coef,5,2,197,True,,0.3315054049520969,114.19236179224525,88,109,1:109;2:88,0.6600965628219158,0.6727480588721206,0.4431364644241935,0.87584539076916,"{""1"": 0.8527863777089784, ""2"": 0.8115942028985508}",0.8115942028985508,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+promo_response_index+trailing_zero_share+trend_coef,5,2,197,True,,0.2599942460061452,77.3722362188541,87,110,1:87;2:110,0.5702301758817294,0.5717817266193346,0.377751938941638,0.7377254672212434,"{""1"": 0.8080808080808081, ""2"": 0.7650689905591865}",0.7650689905591865,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+peak_ratio+promo_response_index,6,2,197,True,,0.2900320325373111,98.42038357445138,86,111,1:111;2:86,0.7289232350734794,0.7377084747435143,0.5525490352258716,0.8758584928189956,"{""1"": 0.8900549450549451, ""2"": 0.8472222222222222}",0.8472222222222222,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+peak_ratio+trailing_zero_share,6,2,197,True,,0.28999345583223046,95.220734259447,60,137,1:137;2:60,0.6049396670569838,0.6297826480204447,0.3324165000090886,0.8250622989520374,"{""1"": 0.8638181818181818, ""2"": 0.7333333333333333}",0.7333333333333333,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+peak_ratio+trend_coef,6,2,197,True,,0.2828436899489527,96.8848597931047,81,116,1:116;2:81,0.6325502683283933,0.6514390686048606,0.41005000842597855,0.8053049252251535,"{""1"": 0.8584905660377359, ""2"": 0.7794117647058824}",0.7794117647058824,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+promo_response_index+trailing_zero_share,6,2,197,True,,0.266929654744144,81.6102574458265,75,122,1:122;2:75,0.7027065295754564,0.737086083549313,0.4611213098279628,0.8994776374603347,"{""1"": 0.8932038834951457, ""2"": 0.8321596244131455}",0.8321596244131455,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+promo_response_index+trend_coef,6,2,197,True,,0.26819252314485675,83.63084948213458,77,120,1:120;2:77,0.825003752707752,0.8518747973770673,0.6713023528220813,0.926988949673439,"{""1"": 0.94, ""2"": 0.9090909090909091}",0.9090909090909091,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+trailing_zero_share+trend_coef,6,2,197,True,,0.26642348137892324,83.74893995238388,68,129,1:129;2:68,0.5706138196526152,0.6787562263124126,0.15312995194051449,0.8992295701682499,"{""1"": 0.8737864077669902, ""2"": 0.7886762360446571}",0.7886762360446571,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+peak_ratio+promo_response_index+trailing_zero_share,6,2,197,True,,0.218916623645897,65.14631880627908,94,103,1:94;2:103,0.432735683735768,0.4267599101242969,0.23425338543273339,0.6521565258427581,"{""1"": 0.7108187134502923, ""2"": 0.7}",0.7,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+peak_ratio+promo_response_index+trend_coef,6,2,197,True,,0.20489002514368676,47.09882634571079,46,151,1:151;2:46,0.29068398185271027,0.2625171257833249,0.04007756419389571,0.5586865200503723,"{""1"": 0.7016129032258065, ""2"": 0.48}",0.48,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+peak_ratio+trailing_zero_share+trend_coef,6,2,197,True,,0.2801861893191478,91.06573875422379,86,111,1:111;2:86,0.5912319051720081,0.5718039294006041,0.33192050478080837,0.8285084350738534,"{""1"": 0.8140792399434, ""2"": 0.7622023809523809}",0.7622023809523809,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+promo_response_index+trailing_zero_share+trend_coef,6,2,197,True,,0.22373372721456833,60.95854123797706,92,105,1:92;2:105,0.5239175964386834,0.5335775802777447,0.3166661208977616,0.7377050885683019,"{""1"": 0.7860610263522885, ""2"": 0.7401298701298702}",0.7401298701298702,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+peak_ratio+promo_response_index+trailing_zero_share,6,2,197,True,,0.2556412797636913,83.05474485836405,94,103,1:94;2:103,0.6031418867312937,0.6315995307000392,0.28892745242798334,0.8520319387968528,"{""1"": 0.8263087843833186, ""2"": 0.8148148148148148}",0.8148148148148148,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+peak_ratio+promo_response_index+trend_coef,6,2,197,True,,0.24130014733695443,72.33776235492293,73,124,1:73;2:124,0.4152524723867065,0.39397808814073776,0.09917715935855245,0.781086438706877,"{""1"": 0.7113829787234043, ""2"": 0.6576265016381507}",0.6576265016381507,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+peak_ratio+trailing_zero_share+trend_coef,6,2,197,True,,0.2749277557925937,84.09793916593107,51,146,1:146;2:51,0.4214034674047106,0.40926630102599365,0.10199622693899406,0.7722384732070505,"{""1"": 0.7627118644067796, ""2"": 0.5869841269841269}",0.5869841269841269,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+promo_response_index+trailing_zero_share+trend_coef,6,2,197,True,,0.24740585338774485,74.14532312282655,70,127,1:70;2:127,0.6100849555315957,0.6916679296365242,0.1598182203871369,0.8993551793054037,"{""1"": 0.875, ""2"": 0.8028169014084507}",0.8028169014084507,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+peak_ratio+promo_response_index+trailing_zero_share+trend_coef,6,2,197,True,,0.22214732179852006,64.80504585004766,70,127,1:70;2:127,0.29824863626714115,0.2612911602523025,0.07992134654791547,0.5526851719427068,"{""1"": 0.6310679611650486, ""2"": 0.5894736842105263}",0.5894736842105263,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+peak_ratio+promo_response_index+trailing_zero_share,7,2,197,True,,0.2668169535453794,80.45570718900125,61,136,1:136;2:61,0.6397275938640302,0.6915879970172404,0.2885165045392101,0.8737152934209561,"{""1"": 0.8823529411764706, ""2"": 0.7777777777777778}",0.7777777777777778,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+peak_ratio+promo_response_index+trend_coef,7,2,197,True,,0.26210193152350186,83.39777467236236,79,118,1:118;2:79,0.6985202087813205,0.7363335022631041,0.4963931315419133,0.8514907497044907,"{""1"": 0.8877551020408163, ""2"": 0.8307692307692308}",0.8307692307692308,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+peak_ratio+trailing_zero_share+trend_coef,7,2,197,True,,0.27548885868991657,84.75725660012519,54,143,1:143;2:54,0.5471347650958178,0.5614892774604827,0.18853376228877666,0.9187801712372003,"{""1"": 0.8294573643410853, ""2"": 0.6771712158808934}",0.6771712158808934,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+promo_response_index+trailing_zero_share+trend_coef,7,2,197,True,,0.23138981820659293,67.74555771073098,79,118,1:118;2:79,0.4775939952936013,0.36199901329599793,0.17509069953139517,0.8757267281237396,"{""1"": 0.690360824742268, ""2"": 0.659684141259048}",0.659684141259048,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+peak_ratio+promo_response_index+trailing_zero_share+trend_coef,7,2,197,True,,0.24211544746852798,70.42114623537456,91,106,1:91;2:106,0.5036980292187105,0.5150171569311064,0.23539669774131353,0.7377079682237342,"{""1"": 0.7624543750616553, ""2"": 0.7531665864999199}",0.7531665864999199,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+peak_ratio+promo_response_index+trailing_zero_share+trend_coef,7,2,197,True,,0.21775144707157873,64.9706223245599,78,119,1:119;2:78,0.3806210118885766,0.3615752858765546,0.17504201377612683,0.6109374553079601,"{""1"": 0.7142857142857143, ""2"": 0.6263181263181263}",0.6263181263181263,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean+peak_ratio+promo_response_index+trailing_zero_share+trend_coef,8,2,197,True,,0.23447878206020636,71.24902846906097,76,121,1:121;2:76,0.5788605147181484,0.5897430338938476,0.27427786062069565,0.8996770961332154,"{""1"": 0.8340978593272171, ""2"": 0.7358909321496512}",0.7358909321496512,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
