analysis_mode,selection_status,feature_set,sku,full_cluster,subsample_appearances,same_cluster_count,assignment_stability,n_observed,n_positive,n_zero,total_sales,mean_sales,median_sales,std_sales,nonzero_mean,CV2,ADI,zero_ratio,approx_entropy,trailing_zero_share,acf1,acf1_zero_variance,trend_coef,seasonality_idx,peak_ratio,promo_weight_ratio,promo_window_weight_mean,promo_response_index
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,FRH0028,2,398,348,0.8743718592964824,135,27,108,48.0,0.3555555555555555,0.0,0.9098685050695036,1.7777777777777777,0.5192307692307693,5.0,0.8,0.4541860010812193,0.0148148148148148,0.2419181034482752,False,0.0110294117647057,0.0,2.8125,1.25,1.197883597883598,1.043507067137809
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,JZJ00011,1,416,370,0.8894230769230769,135,36,99,87.0,0.6444444444444445,0.0,1.3297214760919294,2.4166666666666665,0.4048241888907763,3.75,0.7333333333333333,0.361893949491346,0.0148148148148148,0.589877891016944,False,0.7515889114266396,0.0,2.4827586206896552,1.7717569786535303,1.197883597883598,1.479072742780553
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,YJLZHMV000AMDE,1,382,340,0.8900523560209425,135,64,71,140.0,1.037037037037037,0.0,1.6087791208901396,2.1875,0.6161580822805313,2.109375,0.5259259259259259,0.7195453749599507,0.0148148148148148,0.4475479191849419,False,0.2763772175536878,0.0,3.2,1.030612244897959,1.197883597883598,0.8603609288238262
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,FZLRICBHP0001,1,375,334,0.8906666666666667,135,19,116,42.0,0.3111111111111111,0.0,0.9732747205142236,2.210526315789474,0.5361552028218693,7.105263157894737,0.8592592592592593,0.1918584023509409,0.0,0.6407596874481083,False,0.3964985994397758,0.0,2.714285714285714,0.6496598639455782,1.197883597883598,0.5423397274103987
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,KFYFQ51mm,1,398,356,0.8944723618090452,30,27,3,142.5,4.75,4.0,3.474041668898256,5.277777777777778,0.3794268058810995,1.1111111111111112,0.1,0.6606198327795973,0.0,0.0464462477162284,False,-0.4333446519524626,,2.8421052631578947,0.9107769423558896,1.0238095238095235,0.8895960832313343
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,ZBTZ0003,2,400,358,0.895,135,9,126,14.0,0.1037037037037037,0.0,0.5077617562455674,1.5555555555555556,0.7346938775510206,15.0,0.9333333333333332,0.2374997864635524,0.0888888888888888,0.2761452031114949,False,0.1966386554621849,0.1915928663258387,3.2142857142857144,1.0714285714285714,1.197883597883598,0.8944346289752649
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,SLT0003,2,381,342,0.8976377952755905,135,23,112,38.0,0.2814814814814815,0.0,0.7692975265500324,1.6521739130434785,0.4532233694283556,5.869565217391305,0.8296296296296296,0.3430388617555664,0.1555555555555555,0.2678975131876416,False,0.391640866873065,0.0,3.026315789473684,1.2932330827067668,1.197883597883598,1.0795982890087408
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,FRH0050,1,390,352,0.9025641025641026,135,55,80,126.0,0.9333333333333332,0.0,1.7156000647264948,2.290909090909091,0.7880751752003958,2.4545454545454546,0.5925925925925926,0.8092855294473709,0.1259259259259259,0.3418417659106422,False,0.3072673513849983,0.045287283134011,4.801587301587301,1.7448979591836733,1.197883597883598,1.4566506814740028
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,JZJ0014,2,394,358,0.9086294416243654,135,10,125,16.0,0.1185185185185185,0.0,0.5865641399933572,1.6,0.9722222222222222,13.5,0.925925925925926,0.3087369608772301,0.074074074074074,-0.0197538860103628,False,0.1568627450980392,0.0,3.75,1.5178571428571428,1.197883597883598,1.2671157243816251
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,JZJ0016,1,386,351,0.9093264248704664,135,69,66,194.0,1.4370370370370371,1.0,2.017118557432216,2.8115942028985508,0.5181912811888493,1.9565217391304348,0.4888888888888889,0.5462132064543126,0.0,0.391829706621994,False,0.7534162118455628,0.0,3.9123711340206175,1.2650957290132547,1.197883597883598,1.056109067064952
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,JZJ0005,1,402,367,0.9129353233830846,104,23,81,65.0,0.625,0.0,1.48104710910029,2.8260869565217392,0.4715749208056898,4.521739130434782,0.7788461538461539,0.1911777781125956,0.1826923076923076,0.5699137139358684,False,0.5536460974922512,0.2930285680009536,3.1846153846153844,1.4879120879120875,1.2513736263736266,1.189023051591657
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,xgx0013,2,392,359,0.9158163265306124,30,8,22,20.0,0.6666666666666666,0.0,1.268540658512312,2.5,0.2285714285714285,3.75,0.7333333333333333,0.2228199565466784,0.0333333333333333,0.2641791044776119,False,0.9290322580645162,,1.6,1.542857142857143,1.0238095238095235,1.506976744186047
retrospective_method_development,provisional_downstream_recommendation,ADI+CV2+acf1+nonzero_mean,FRH0029,2,410,376,0.9170731707317074,104,28,76,46.0,0.4423076923076923,0.0,0.9225010650865856,1.6428571428571428,0.4450045508646643,3.7142857142857135,0.7307692307692307,0.5541903830370158,0.0096153846153846,0.3139431616341029,False,0.3090301003344481,0.0,2.4347826086956523,1.329192546583851,1.2513736263736266,1.0621867990263922
