sku,n_observed,n_positive,n_zero,total_sales,mean_sales,median_sales,std_sales,nonzero_mean,CV2,ADI,zero_ratio,approx_entropy,trailing_zero_share,acf1,acf1_zero_variance
FRW0009,135,28,107,48.0,0.35555555555555557,0.0,0.8327858898351111,1.7142857142857142,0.34927983539094665,4.821428571428571,0.7925925925925926,0.4252129321133258,0.0,0.4010797037370395,False
FRW0011,104,7,97,8.0,0.07692307692307693,0.0,0.30184892036318633,1.1428571428571428,0.10937500000000001,14.857142857142858,0.9326923076923077,0.17381031775535205,0.6057692307692307,0.36024844720496624,False
FRW0013,104,11,93,29.0,0.27884615384615385,0.0,0.9599426638342218,2.6363636363636362,0.3819262782401903,9.454545454545455,0.8942307692307693,0.07247020645470181,0.6826923076923077,0.725839475839476,False
FRW0014,104,8,96,10.0,0.09615384615384616,0.0,0.3557906761394709,1.25,0.13714285714285715,13.0,0.9230769230769231,0.11730760265507789,0.6730769230769231,0.616244411326375,False
FRW0015,135,42,93,349.0,2.585185185185185,0.0,5.8403961033953005,8.30952380952381,0.9088655405728772,3.2142857142857144,0.6888888888888889,0.2723072780439768,0.007407407407407408,0.8225255526250806,False
FRW0016,104,9,95,15.0,0.14423076923076922,0.0,0.5646249589654898,1.6666666666666667,0.44999999999999984,11.555555555555555,0.9134615384615384,0.2620952188882403,0.4807692307692308,-0.03609467455621284,False
FRW0017,104,6,98,21.0,0.20192307692307693,0.0,0.9890645545435942,3.5,0.5142857142857143,17.333333333333332,0.9423076923076923,0.05743565914133575,0.6346153846153846,0.6922112974744551,False
FRW0020,104,5,99,5.0,0.04807692307692308,0.0,0.2149647834019842,1.0,0.0,20.8,0.9519230769230769,0.14862820649434605,0.6730769230769231,0.369387755102039,False
FRW0021,104,4,100,4.0,0.038461538461538464,0.0,0.1932389698720778,1.0,0.0,26.0,0.9615384615384616,0.16458113744539593,0.27884615384615385,-0.04040404040404042,False
FRW0022,104,4,100,5.0,0.04807692307692308,0.0,0.25617832428060205,1.25,0.16000000000000003,26.0,0.9615384615384616,0.1518808405042713,0.40384615384615385,0.2600574712643671,False
FRW0023,104,10,94,10.0,0.09615384615384616,0.0,0.29622973141038905,1.0,0.0,10.4,0.9038461538461539,0.3141758437671617,0.09615384615384616,0.11397849462365567,False
