horizon_label,horizon_weeks,origin_index,origin,method,n_sku_origins,n_unique_skus,observed_event_rate,mean_probability,calibration_gap,brier_score,log_loss,roc_auc,average_precision,zero_probability_share,one_probability_share
30_day_proxy,4,6,2026-07-06,Profile_block_frequency,147,147,0.6870748299319728,0.3872217451747562,-0.29985308475721656,0.3147100898100887,0.8703212977253515,0.5594059405940593,0.729688349621423,0.0,0.0
30_day_proxy,4,6,2026-07-06,SKU_block_frequency,147,147,0.6870748299319728,0.4187216553287982,-0.2683531746031746,0.3074046024659864,2.359732072562319,0.6077270770555316,0.7961652764063312,0.047619047619047616,0.047619047619047616
60_day_proxy,9,1,2025-07-21,Overall_block_frequency,195,195,0.5538461538461539,0.2649572649572649,-0.288888888888889,0.3305573818394331,0.8729491509082637,0.5,0.5538461538461539,0.0,0.0
60_day_proxy,9,1,2025-07-21,PXQ_independence,195,195,0.5538461538461539,0.4537196694313191,-0.1001264844148348,0.21147292062144935,5.368153946736313,0.8082694763729246,0.8283472651490711,0.5025641025641026,0.09743589743589744
60_day_proxy,9,1,2025-07-21,Profile_block_frequency,195,195,0.5538461538461539,0.26495726495726496,-0.2888888888888889,0.341646240676106,0.9765134360615861,0.5541187739463602,0.5932454890788225,0.0,0.0
60_day_proxy,9,1,2025-07-21,SKU_block_frequency,195,195,0.5538461538461539,0.26495726495726496,-0.2888888888888889,0.3563786008230453,4.579660912759899,0.5298531289910601,0.6201639160683095,0.17435897435897435,0.0
60_day_proxy,9,2,2025-09-22,Overall_block_frequency,195,195,0.5435897435897435,0.29384615384615387,-0.24974358974358968,0.3104717948717949,0.8245290189495224,0.5,0.5435897435897435,0.0,0.0
60_day_proxy,9,2,2025-09-22,PXQ_independence,195,195,0.5435897435897435,0.5141090368252409,-0.02948070676450265,0.1642996428001665,3.379364549440891,0.8593385626457495,0.8674667390338635,0.4461538461538462,0.12307692307692308
60_day_proxy,9,2,2025-09-22,Profile_block_frequency,195,195,0.5435897435897435,0.2938461538461538,-0.24974358974358973,0.3074196952411995,0.8521006330785268,0.5869196523213908,0.5975484415464299,0.0,0.0
60_day_proxy,9,2,2025-09-22,SKU_block_frequency,195,195,0.5435897435897435,0.29384615384615387,-0.24974358974358968,0.3225128205128206,2.38096331310708,0.5482298070807717,0.6443401410003985,0.06153846153846154,0.0
60_day_proxy,9,3,2025-11-24,Overall_block_frequency,100,100,0.88,0.35818181818181827,-0.5218181818181817,0.3778942148760331,0.9567228301050911,0.5,0.88,0.0,0.0
60_day_proxy,9,3,2025-11-24,PXQ_independence,100,100,0.88,0.8055079419921956,-0.07449205800780445,0.156819170197113,3.6412271354367833,0.8546401515151515,0.9751114081996435,0.15,0.18
60_day_proxy,9,3,2025-11-24,Profile_block_frequency,100,100,0.88,0.358181818181818,-0.521818181818182,0.3915110787732352,1.0538897764141173,0.5923295454545455,0.9037688098495211,0.0,0.0
60_day_proxy,9,3,2025-11-24,SKU_block_frequency,100,100,0.88,0.35818181818181805,-0.521818181818182,0.4178512396694216,2.0727469585640073,0.5336174242424242,0.9077193548890132,0.03,0.0
60_day_proxy,9,4,2026-01-26,Overall_block_frequency,100,100,0.92,0.40166666666666656,-0.5183333333333335,0.3422694444444444,0.8802506853256814,0.5,0.92,0.0,0.0
60_day_proxy,9,4,2026-01-26,PXQ_independence,100,100,0.92,0.821953370385633,-0.09804662961436705,0.14139688476370682,3.3774406224361284,0.7547554347826086,0.9692735187950984,0.12,0.12
60_day_proxy,9,4,2026-01-26,Profile_block_frequency,100,100,0.92,0.4016666666666668,-0.5183333333333333,0.3584027620307382,0.939626319692908,0.5129076086956521,0.9217268591062697,0.0,0.0
