target_type,horizon_label,horizon_weeks,origin_index,origin,primary_method,baseline,primary_loss,baseline_loss,loss_difference,primary_better,n_sku_origins
expected_quantity,30_day_proxy,4,1,2026-02-16,ProfileShrink_L4_expected,ADIDA2,8.045050766412993,7.148266253824617,0.8967845125883764,False,147
expected_quantity,30_day_proxy,4,2,2026-03-16,ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,7.294958315346239,8.10920285995155,-0.8142445446053106,True,147
expected_quantity,30_day_proxy,4,2,2026-03-16,ProfileShrink_L4_expected,SKU_recent_block_expected,7.294958315346239,6.899398220826792,0.39556009451944707,False,147
expected_quantity,30_day_proxy,4,2,2026-03-16,ProfileShrink_L4_expected,PXQ,8.384049450140564,7.6030335274751355,0.7810159226654285,False,121
expected_quantity,30_day_proxy,4,2,2026-03-16,ProfileShrink_L4_expected,MA4_proxy,7.294958315346239,7.003401360544218,0.2915569548020214,False,147
expected_quantity,30_day_proxy,4,2,2026-03-16,ProfileShrink_L4_expected,Naive,7.294958315346239,7.340136054421769,-0.045177739075529466,True,147
expected_quantity,30_day_proxy,4,2,2026-03-16,ProfileShrink_L4_expected,SES,7.294958315346239,7.423911149708735,-0.1289528343624955,True,147
expected_quantity,30_day_proxy,4,2,2026-03-16,ProfileShrink_L4_expected,ADIDA2,7.294958315346239,7.432940784222598,-0.13798246887635912,True,147
expected_quantity,30_day_proxy,4,3,2026-04-13,ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,10.259977554975825,11.316403369626924,-1.0564258146510994,True,147
expected_quantity,30_day_proxy,4,3,2026-04-13,ProfileShrink_L4_expected,SKU_recent_block_expected,10.259977554975825,10.250741322169894,0.009236232805930555,False,147
expected_quantity,30_day_proxy,4,3,2026-04-13,ProfileShrink_L4_expected,PXQ,11.753411673062034,10.234358583014611,1.5190530900474233,False,125
expected_quantity,30_day_proxy,4,3,2026-04-13,ProfileShrink_L4_expected,MA4_proxy,10.259977554975825,9.275510204081632,0.9844673508941924,False,147
expected_quantity,30_day_proxy,4,3,2026-04-13,ProfileShrink_L4_expected,Naive,10.259977554975825,8.408163265306122,1.8518142896697025,False,147
expected_quantity,30_day_proxy,4,3,2026-04-13,ProfileShrink_L4_expected,SES,10.259977554975825,8.800974214632777,1.4590033403430471,False,147
expected_quantity,30_day_proxy,4,3,2026-04-13,ProfileShrink_L4_expected,ADIDA2,10.259977554975825,10.170183308452383,0.08979424652344115,False,147
expected_quantity,30_day_proxy,4,4,2026-05-11,ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,7.770832384695166,8.24544755516558,-0.4746151704704138,True,147
expected_quantity,30_day_proxy,4,4,2026-05-11,ProfileShrink_L4_expected,SKU_recent_block_expected,7.770832384695166,6.881998953427525,0.8888334312676411,False,147
expected_quantity,30_day_proxy,4,4,2026-05-11,ProfileShrink_L4_expected,PXQ,8.756099139889894,7.03677853388061,1.7193206060092843,False,127
expected_quantity,30_day_proxy,4,4,2026-05-11,ProfileShrink_L4_expected,MA4_proxy,7.770832384695166,8.145124716553287,-0.37429233185812105,True,147
expected_quantity,30_day_proxy,4,4,2026-05-11,ProfileShrink_L4_expected,Naive,7.770832384695166,8.081632653061224,-0.3108002683660578,True,147
expected_quantity,30_day_proxy,4,4,2026-05-11,ProfileShrink_L4_expected,SES,7.770832384695166,5.8231637939833245,1.9476685907118414,False,147
expected_quantity,30_day_proxy,4,4,2026-05-11,ProfileShrink_L4_expected,ADIDA2,7.770832384695166,8.033107958516059,-0.26227557382089284,True,147
expected_quantity,30_day_proxy,4,5,2026-06-08,ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,7.780826814122647,7.979821663511152,-0.1989948493885052,True,147
expected_quantity,30_day_proxy,4,5,2026-06-08,ProfileShrink_L4_expected,SKU_recent_block_expected,7.780826814122647,7.265698587127159,0.515128226995488,False,147
expected_quantity,30_day_proxy,4,5,2026-06-08,ProfileShrink_L4_expected,PXQ,8.246533338339162,6.260212164071211,1.9863211742679514,False,131
expected_quantity,30_day_proxy,4,5,2026-06-08,ProfileShrink_L4_expected,MA4_proxy,7.780826814122647,4.925170068027211,2.855656746095436,False,147
expected_quantity,30_day_proxy,4,5,2026-06-08,ProfileShrink_L4_expected,Naive,7.780826814122647,8.0,-0.21917318587735313,True,147
expected_quantity,30_day_proxy,4,5,2026-06-08,ProfileShrink_L4_expected,SES,7.780826814122647,6.103648646780822,1.6771781673418245,False,147
expected_quantity,30_day_proxy,4,5,2026-06-08,ProfileShrink_L4_expected,ADIDA2,7.780826814122647,5.354213556829037,2.42661325729361,False,147
expected_quantity,30_day_proxy,4,6,2026-07-06,ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,7.522026491178845,7.7586800566946375,-0.23665356551579286,True,147
expected_quantity,30_day_proxy,4,6,2026-07-06,ProfileShrink_L4_expected,SKU_recent_block_expected,7.522026491178845,7.016099773242631,0.5059267179362132,False,147
expected_quantity,30_day_proxy,4,6,2026-07-06,ProfileShrink_L4_expected,PXQ,7.456582442871659,5.972655899824079,1.4839265430475805,False,140
expected_quantity,30_day_proxy,4,6,2026-07-06,ProfileShrink_L4_expected,MA4_proxy,7.522026491178845,6.6689342403628125,0.8530922508160321,False,147
expected_quantity,30_day_proxy,4,6,2026-07-06,ProfileShrink_L4_expected,Naive,7.522026491178845,10.020408163265307,-2.4983816720864622,True,147
expected_quantity,30_day_proxy,4,6,2026-07-06,ProfileShrink_L4_expected,SES,7.522026491178845,6.257165004045416,1.2648614871334285,False,147
expected_quantity,30_day_proxy,4,6,2026-07-06,ProfileShrink_L4_expected,ADIDA2,7.522026491178845,6.444980172858469,1.0770463183203756,False,147
expected_quantity,60_day_proxy,9,1,2025-07-21,ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,12.841449574192376,13.994508721972743,-1.1530591477803664,True,195
expected_quantity,60_day_proxy,9,1,2025-07-21,ProfileShrink_L4_expected,SKU_recent_block_expected,12.841449574192376,12.402051282051282,0.43939829214109416,False,195
expected_quantity,60_day_proxy,9,1,2025-07-21,ProfileShrink_L4_expected,PXQ,14.00792835662811,9.948639257522787,4.059289099105323,False,161
expected_quantity,60_day_proxy,9,1,2025-07-21,ProfileShrink_L4_expected,MA4_proxy,12.841449574192376,9.806410256410256,3.03503931778212,False,195
expected_quantity,60_day_proxy,9,1,2025-07-21,ProfileShrink_L4_expected,Naive,12.841449574192376,9.717948717948717,3.123500856243659,False,195
expected_quantity,60_day_proxy,9,1,2025-07-21,ProfileShrink_L4_expected,SES,12.841449574192376,8.863716926562322,3.977732647630054,False,195
expected_quantity,60_day_proxy,9,1,2025-07-21,ProfileShrink_L4_expected,ADIDA2,12.841449574192376,10.818829201457087,2.0226203727352896,False,195
expected_quantity,60_day_proxy,9,2,2025-09-22,ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,15.311735978257603,16.4834658861592,-1.1717299079015948,True,195
expected_quantity,60_day_proxy,9,2,2025-09-22,ProfileShrink_L4_expected,SKU_recent_block_expected,15.311735978257603,13.641384615384617,1.670351362872987,False,195
expected_quantity,60_day_proxy,9,2,2025-09-22,ProfileShrink_L4_expected,PXQ,15.805301229265766,12.03455352247462,3.770747706791145,False,183
expected_quantity,60_day_proxy,9,2,2025-09-22,ProfileShrink_L4_expected,MA4_proxy,15.311735978257603,10.262051282051281,5.049684696206322,False,195
expected_quantity,60_day_proxy,9,2,2025-09-22,ProfileShrink_L4_expected,Naive,15.311735978257603,10.087179487179487,5.224556491078117,False,195
expected_quantity,60_day_proxy,9,2,2025-09-22,ProfileShrink_L4_expected,SES,15.311735978257603,10.265668159550001,5.046067818707602,False,195
expected_quantity,60_day_proxy,9,2,2025-09-22,ProfileShrink_L4_expected,ADIDA2,15.311735978257603,10.23034249816235,5.081393480095253,False,195
expected_quantity,60_day_proxy,9,3,2025-11-24,ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,18.69809726909539,20.364476670317053,-1.6663794012216648,True,100
expected_quantity,60_day_proxy,9,3,2025-11-24,ProfileShrink_L4_expected,SKU_recent_block_expected,18.69809726909539,15.215,3.4830972690953885,False,100
expected_quantity,60_day_proxy,9,3,2025-11-24,ProfileShrink_L4_expected,PXQ,19.042711961266725,15.627479327818927,3.4152326334477987,False,97
expected_quantity,60_day_proxy,9,3,2025-11-24,ProfileShrink_L4_expected,MA4_proxy,18.69809726909539,23.5,-4.801902730904612,True,100
expected_quantity,60_day_proxy,9,3,2025-11-24,ProfileShrink_L4_expected,Naive,18.69809726909539,22.23,-3.531902730904612,True,100
expected_quantity,60_day_proxy,9,3,2025-11-24,ProfileShrink_L4_expected,SES,18.69809726909539,20.501938490831886,-1.8038412217364979,True,100
expected_quantity,60_day_proxy,9,3,2025-11-24,ProfileShrink_L4_expected,ADIDA2,18.69809726909539,24.137874689839368,-5.4397774207439795,True,100
expected_quantity,60_day_proxy,9,4,2026-01-26,ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,20.65066071327475,21.28348323283649,-0.6328225195617385,True,100
expected_quantity,60_day_proxy,9,4,2026-01-26,ProfileShrink_L4_expected,SKU_recent_block_expected,20.65066071327475,19.2245,1.4261607132747507,False,100
expected_quantity,60_day_proxy,9,4,2026-01-26,ProfileShrink_L4_expected,PXQ,20.65066071327475,19.413365732631892,1.237294980642858,False,100
expected_quantity,60_day_proxy,9,4,2026-01-26,ProfileShrink_L4_expected,MA4_proxy,20.65066071327475,19.826875,0.8237857132747486,False,100
expected_quantity,60_day_proxy,9,4,2026-01-26,ProfileShrink_L4_expected,Naive,20.65066071327475,19.06,1.590660713274751,False,100
expected_quantity,60_day_proxy,9,4,2026-01-26,ProfileShrink_L4_expected,SES,20.65066071327475,17.173070639854938,3.4775900734198117,False,100
expected_quantity,60_day_proxy,9,4,2026-01-26,ProfileShrink_L4_expected,ADIDA2,20.65066071327475,19.58944138780314,1.0612193254716082,False,100
expected_quantity,60_day_proxy,9,5,2026-03-30,ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,19.995998063231497,22.56176648803315,-2.5657684248016537,True,147
expected_quantity,60_day_proxy,9,5,2026-03-30,ProfileShrink_L4_expected,SKU_recent_block_expected,19.995998063231497,18.458163265306123,1.537834797925374,False,147
expected_quantity,60_day_proxy,9,5,2026-03-30,ProfileShrink_L4_expected,PXQ,22.96707460840237,19.673988671853586,3.293085936548785,False,123
expected_quantity,60_day_proxy,9,5,2026-03-30,ProfileShrink_L4_expected,MA4_proxy,19.995998063231497,16.10374149659864,3.892256566632856,False,147
expected_quantity,60_day_proxy,9,5,2026-03-30,ProfileShrink_L4_expected,Naive,19.995998063231497,21.027210884353742,-1.0312128211222458,True,147
expected_quantity,60_day_proxy,9,5,2026-03-30,ProfileShrink_L4_expected,SES,19.995998063231497,18.88352446874291,1.1124735944885877,False,147
expected_quantity,60_day_proxy,9,5,2026-03-30,ProfileShrink_L4_expected,ADIDA2,19.995998063231497,15.899062951121783,4.096935112109714,False,147
expected_quantity,60_day_proxy,9,6,2026-06-01,ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,18.061928144323602,18.399735217384233,-0.33780707306063107,True,147
expected_quantity,60_day_proxy,9,6,2026-06-01,ProfileShrink_L4_expected,SKU_recent_block_expected,18.061928144323602,15.297278911564625,2.764649232758977,False,147
expected_quantity,60_day_proxy,9,6,2026-06-01,ProfileShrink_L4_expected,PXQ,19.011169660880597,13.575048871328674,5.436120789551923,False,131
expected_quantity,60_day_proxy,9,6,2026-06-01,ProfileShrink_L4_expected,MA4_proxy,18.061928144323602,12.41454081632653,5.647387327997071,False,147
expected_quantity,60_day_proxy,9,6,2026-06-01,ProfileShrink_L4_expected,Naive,18.061928144323602,18.401360544217688,-0.33943239989408625,True,147
expected_quantity,60_day_proxy,9,6,2026-06-01,ProfileShrink_L4_expected,SES,18.061928144323602,13.912340582376906,4.149587561946696,False,147
expected_quantity,60_day_proxy,9,6,2026-06-01,ProfileShrink_L4_expected,ADIDA2,18.061928144323602,12.073195826687273,5.9887323176363285,False,147
