horizon_label,horizon_weeks,approximate_days,origin_index,origin,sku,cluster,cluster_profile,actual_sum,actual_event,training_weeks,lookback_weeks_used,complete_history_blocks,positive_history_blocks,positive_history_volume,all_history_volume,sku_recent_block_probability,sku_recent_block_conditional_quantity,sku_recent_block_expected_quantity,pxq_independence_probability,enterprise_peer_blocks,enterprise_peer_positive_blocks,enterprise_peer_positive_volume,profile_peer_blocks,profile_peer_positive_blocks,profile_peer_positive_volume,enterprise_reference_probability,enterprise_reference_conditional_quantity,profile_reference_probability,profile_probability_reference_source,profile_reference_conditional_quantity,profile_quantity_reference_source,profile_probability_l1,profile_conditional_quantity_l1,profile_expected_quantity_l1,profile_probability_l4,profile_conditional_quantity_l4,profile_expected_quantity_l4,profile_probability_l8,profile_conditional_quantity_l8,profile_expected_quantity_l8,enterprise_probability_l4,enterprise_conditional_quantity_l4,enterprise_expected_quantity_l4
30_day_proxy,4,28,5,2026-06-08,XYMZD0017,0,low_information,0.0,0,22,22,5,0,0.0,0.0,0.0,,0.0,0.0,1530,997,16672.25,159,20,92.0,0.6516339869281046,16.722417251755267,0.12578616352201258,profile_leave_one_out,4.6,profile_leave_one_out,0.020964360587002098,4.6,0.09643605870020965,0.055904961565338925,4.6,0.25716282320055905,0.07740686985970005,4.6,0.3560716013546202,0.2896151053013798,16.722417251755267,4.8430646332607115
30_day_proxy,4,28,5,2026-06-08,XYMZG0016,0,low_information,25.0,1,22,22,5,0,0.0,0.0,0.0,,0.0,0.0,1530,997,16672.25,159,20,92.0,0.6516339869281046,16.722417251755267,0.12578616352201258,profile_leave_one_out,4.6,profile_leave_one_out,0.020964360587002098,4.6,0.09643605870020965,0.055904961565338925,4.6,0.25716282320055905,0.07740686985970005,4.6,0.3560716013546202,0.2896151053013798,16.722417251755267,4.8430646332607115
30_day_proxy,4,28,5,2026-06-08,YDBZ001,1,relative_active_persistent,6.0,1,127,52,13,9,90.0,90.0,0.6923076923076923,10.0,6.923076923076923,0.0,1522,988,16582.25,901,733,15726.25,0.6491458607095927,16.783653846153847,0.8135405105438401,profile_leave_one_out,21.45463847203274,profile_leave_one_out,0.70096717932456,11.145463847203274,7.812604355237938,0.720833061304433,13.524504145240844,9.748909725638452,0.7384916230643201,15.390418104485995,11.36569484562036,0.6821519672257865,12.087278106508876,8.24536053876021
30_day_proxy,4,28,5,2026-06-08,YDBZ002,1,relative_active_persistent,0.0,0,127,52,13,9,90.5,90.5,0.6923076923076923,10.055555555555555,6.961538461538462,0.0,1522,988,16581.75,901,733,15725.75,0.6491458607095927,16.783147773279353,0.8135405105438401,profile_leave_one_out,21.453956343792633,profile_leave_one_out,0.70096717932456,11.195395634379263,7.847604899253325,0.720833061304433,13.562755798090041,9.776482781661693,0.7384916230643201,15.41950886766712,11.38717813053817,0.6821519672257865,12.1255839302398,8.271490931774464
30_day_proxy,4,28,5,2026-06-08,YEC0009,1,relative_active_persistent,0.0,0,22,22,5,4,35.0,35.0,0.8,8.75,7.0,0.68359375,1530,993,16637.25,909,738,15781.25,0.6490196078431373,16.75453172205438,0.8118811881188119,profile_leave_one_out,21.383807588075882,profile_leave_one_out,0.8019801980198019,11.276761517615176,9.0437394349191,0.8052805280528053,15.066903794037941,12.133084243383689,0.8073115003808073,17.172538392050587,13.863587734633375,0.7328976034858388,12.75226586102719,9.346105088561105
30_day_proxy,4,28,5,2026-06-08,YJLZHMV000AMDE,1,relative_active_persistent,2.0,1,127,52,13,12,52.0,52.0,0.9230769230769231,4.333333333333333,4.0,0.9375,1522,985,16620.25,901,730,15764.25,0.6471747700394218,16.873350253807107,0.8102108768035516,profile_leave_one_out,21.59486301369863,profile_leave_one_out,0.9150150626288251,5.661143308746048,5.18003139920302,0.896520206306718,8.648715753424657,7.753748431548436,0.8800803340204006,11.237945205479452,9.890294570141316,0.8581587694210404,7.468337563451777,6.4090193730727085
30_day_proxy,4,28,5,2026-06-08,YXBLJ0001,2,low_frequency_sparse,2.0,1,127,52,13,6,21.0,21.0,0.46153846153846156,3.5,1.6153846153846154,0.9375,1522,991,16651.25,444,229,743.0,0.6511169513797634,16.802472250252272,0.5157657657657657,profile_leave_one_out,3.2445414847161573,profile_leave_one_out,0.4654118404118404,3.463505926388023,1.611956667477566,0.47429782723900366,3.397816593886463,1.6115770278369814,0.4821964821964822,3.35402370555209,1.6172984320208275,0.5061451650305325,8.82098890010091,4.46470088257407
30_day_proxy,4,28,5,2026-06-08,ZBTZ0002,1,relative_active_persistent,0.0,0,127,52,13,4,20.0,20.0,0.3076923076923077,5.0,1.5384615384615385,0.0,1522,993,16652.25,901,738,15796.25,0.6524310118265441,16.76963746223565,0.8190899001109878,profile_leave_one_out,21.404132791327914,profile_leave_one_out,0.34422070715078484,8.280826558265582,2.8504319736791786,0.42802115296729126,13.202066395663957,5.650763680222818,0.5025104381375192,15.936088527551943,8.008050828178419,0.3888072969003633,10.884818731117825,4.232096948096364
30_day_proxy,4,28,5,2026-06-08,ZBTZ0003,2,low_frequency_sparse,0.0,0,127,52,13,5,12.0,12.0,0.38461538461538464,2.4,0.9230769230769231,0.0,1522,992,16660.25,444,230,752.0,0.6517739816031537,16.794606854838708,0.5180180180180181,profile_leave_one_out,3.2695652173913046,profile_leave_one_out,0.3941441441441441,2.544927536231884,1.0030682856769813,0.4160042395336513,2.786473429951691,1.1591847602077783,0.43543543543543545,2.9351170568561877,1.2780539737061478,0.447476230965448,8.79760304659498,3.9367182528204645
30_day_proxy,4,28,5,2026-06-08,ZTD0001,2,low_frequency_sparse,19.0,1,127,52,13,5,46.0,46.0,0.38461538461538464,9.2,3.5384615384615383,1.0,1522,992,16626.25,444,230,718.0,0.6517739816031537,16.760332661290324,0.5180180180180181,profile_leave_one_out,3.121739130434783,profile_leave_one_out,0.3941441441441441,8.18695652173913,3.2268409714061885,0.4160042395336513,6.498550724637681,2.7034246522737573,0.43543543543543545,5.459531772575251,2.3772735946648993,0.447476230965448,12.560147849462366,5.6203676200461965
