sku,start_week,end_week,length,pre_weeks,post_weeks,pre_positive_weeks,post_positive_weeks,pre_positive_share,post_positive_share,p_hat,p_zero,median_pre,median_post,corrected
FRH0044,2025-09-01,2025-10-13,7,12,12,4,5,0.3333333333333333,0.4166666666666667,0.375,0.03725290298461914,1.0,1.0,False
FRH0044,2025-11-17,2025-12-15,5,12,12,5,5,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.06754356352880654,1.0,1.0,False
FRH0044,2025-12-29,2026-01-12,3,12,12,5,7,0.4166666666666667,0.5833333333333334,0.5,0.125,1.0,1.0,False
FRH0044,2026-02-09,2026-02-23,3,12,12,3,8,0.25,0.6666666666666666,0.4583333333333333,0.1589265046296297,1.0,1.0,False
FRH0045,2024-09-30,2024-12-16,12,12,12,6,6,0.5,0.5,0.5,0.000244140625,7.0,8.0,False
FRH0045,2025-01-06,2025-01-20,3,12,12,2,4,0.16666666666666666,0.3333333333333333,0.25,0.421875,2.5,11.5,False
FRH0046,2024-06-17,2024-08-12,9,12,12,1,8,0.08333333333333333,0.6666666666666666,0.375,0.014551915228366852,1.0,2.0,False
FRH0046,2024-10-07,2024-10-28,4,12,12,7,8,0.5833333333333334,0.6666666666666666,0.625,0.019775390625,2.0,1.5,False
FRH0046,2024-11-11,2024-11-25,3,12,12,8,9,0.6666666666666666,0.75,0.7083333333333334,0.024811921296296287,2.0,1.0,False
FRH0046,2025-02-17,2025-03-17,5,12,12,9,9,0.75,0.75,0.75,0.0009765625,1.0,1.0,True
FRH0046,2025-06-23,2025-06-30,2,12,12,9,8,0.75,0.6666666666666666,0.7083333333333334,0.08506944444444442,1.0,1.0,False
FRH0046,2025-08-04,2025-08-11,2,12,12,7,9,0.5833333333333334,0.75,0.6666666666666666,0.11111111111111113,1.0,1.0,False
FRH0047,2024-06-17,2024-09-02,12,12,12,1,3,0.08333333333333333,0.25,0.16666666666666666,0.11215665478461515,4.0,3.0,False
FRH0047,2024-09-30,2024-12-02,10,12,12,3,8,0.25,0.6666666666666666,0.4583333333333333,0.0021743082111706858,3.0,2.0,False
FRH0047,2025-01-06,2025-01-27,4,12,12,4,5,0.3333333333333333,0.4166666666666667,0.375,0.152587890625,1.5,3.0,False
FRH0048,2024-10-07,2024-10-14,2,12,12,10,10,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.027777777777777766,6.5,6.5,True
FRH0048,2024-10-28,2024-11-04,2,12,12,10,12,0.8333333333333334,1.0,0.9166666666666666,0.006944444444444451,6.5,7.5,True
FRH0048,2026-06-29,2026-07-06,2,12,3,12,3,1.0,1.0,1.0,0.0,6.5,2.0,True
FRH0049,2024-06-17,2024-08-12,9,12,12,1,5,0.08333333333333333,0.4166666666666667,0.25,0.07508468627929688,1.0,1.0,False
FRH0050,2024-06-17,2024-06-24,2,12,12,1,7,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.44444444444444453,2.0,1.0,False
