full_cluster,sku,horizon_weeks,planned,ma4_available,quantity_available,mase_available
2,FRH0049,13,6,6,6,6
2,FRH0056-1,4,6,6,6,6
2,FRH0056-1,9,6,6,4,4
2,FRH0056-1,13,6,6,3,3
2,FRH0068,4,6,6,6,6
2,FRH0068,9,6,6,4,4
2,FRH0068,13,6,6,3,3
2,FRW00011,4,6,6,6,6
2,FRW00011,9,6,6,5,5
2,FRW00011,13,6,6,3,3
2,FRW00023,4,6,6,2,2
2,FRW00023,9,6,2,1,1
2,FRW00023,13,6,2,0,0
2,FRW0008,4,6,6,6,6
2,FRW0008,9,6,6,5,5
2,FRW0008,13,6,6,4,4
2,FRW0009,4,6,6,6,6
2,FRW0009,9,6,6,6,6
2,FRW0009,13,6,6,4,4
2,FRW0011,4,6,6,4,4
2,FRW0011,9,6,6,4,4
2,FRW0011,13,6,6,5,5
2,FRW0014,4,6,6,2,2
2,FRW0014,9,6,6,4,4
2,FRW0014,13,6,6,5,5
2,FRW0016,4,6,6,6,6
2,FRW0016,9,6,6,6,6
2,FRW0016,13,6,6,5,5
2,FRW0020,4,6,6,2,2
2,FRW0020,9,6,6,4,4
2,FRW0020,13,6,6,5,5
2,FRW0023,4,6,6,6,6
2,FRW0023,9,6,6,6,6
2,FRW0023,13,6,6,5,5
2,FSTBY001,4,6,6,6,6
2,FSTBY001,9,6,6,3,3
2,FSTBY001,13,6,6,2,2
2,FZGLS0001,4,6,6,6,6
2,FZGLS0001,9,6,6,3,3
2,FZGLS0001,13,6,6,2,2
2,FZGLS0002,4,6,6,6,6
2,FZGLS0002,9,6,6,6,6
2,FZGLS0002,13,6,6,4,4
2,FZLRJ0001double,4,6,6,6,6
2,FZLRJ0001double,9,6,6,6,6
2,FZLRJ0001double,13,6,6,4,4
2,FZLRJ0002double,4,6,6,6,6
2,FZLRJ0002double,9,6,6,6,6
2,FZLRJ0002double,13,6,6,5,5
2,HSAKSLT0001,4,6,6,6,6
2,HSAKSLT0001,9,6,6,3,3
2,HSAKSLT0001,13,6,6,2,2
2,HWZDSKL0002,4,6,6,6,6
2,HWZDSKL0002,9,6,6,6,6
2,HWZDSKL0002,13,6,6,5,5
2,JZJ0004,4,6,6,6,6
2,JZJ0004,9,6,6,5,5
2,JZJ0004,13,6,6,3,3
2,JZJ0014,4,6,6,6,6
2,JZJ0014,9,6,6,6,6
2,JZJ0014,13,6,6,4,4
2,JZJ0017,4,6,6,6,6
2,JZJ0017,9,6,6,6,6
2,JZJ0017,13,6,6,5,5
2,KFZ0001,4,6,6,6,6
2,KFZ0001,9,6,6,5,5
2,KFZ0001,13,6,6,3,3
2,LTKF0002,4,6,6,5,5
2,LTKF0002,9,6,6,5,5
2,LTKF0002,13,6,6,4,4
2,LTKF0005A,4,6,6,6,6
2,LTKF0005A,9,6,6,6,6
2,LTKF0005A,13,6,6,4,4
2,LTKF0008,4,6,6,5,5
2,LTKF0008,9,6,6,5,5
2,LTKF0008,13,6,6,4,4
2,LTKF0009,4,6,6,5,5
2,LTKF0009,9,6,6,5,5
2,LTKF0009,13,6,6,4,4
2,LTKF0022,4,6,6,6,6
2,LTKF0022,9,6,6,4,4
2,LTKF0022,13,6,6,2,2
2,LTKF0024A,4,6,6,6,6
2,LTKF0024A,9,6,6,4,4
2,LTKF0024A,13,6,6,3,3
2,LTKF0058,4,6,6,6,6
2,LTKF0058,9,6,6,4,4
2,LTKF0058,13,6,6,2,2
2,LTKF0102,4,6,6,6,6
2,LTKF0102,9,6,6,5,5
2,LTKF0102,13,6,6,3,3
2,LTKF0106,4,6,6,6,6
2,LTKF0106,9,6,6,4,4
2,LTKF0106,13,6,6,3,3
2,LTKF0111,4,6,6,6,6
2,LTKF0111,9,6,6,5,5
2,LTKF0111,13,6,6,3,3
2,LYC0203,4,6,6,6,6
2,LYC0203,9,6,6,5,5
2,LYC0203,13,6,6,4,4
2,QCXXC0001,4,6,6,6,6
2,QCXXC0001,9,6,6,6,6
2,QCXXC0001,13,6,6,4,4
2,QCXXC0002,4,6,6,6,6
2,QCXXC0002,9,6,6,6,6
2,QCXXC0002,13,6,6,4,4
2,QFSJZ002-1,4,6,6,6,6
2,QFSJZ002-1,9,6,6,6,6
2,QFSJZ002-1,13,6,6,4,4
2,QFSJZ003,4,6,6,6,6
2,QFSJZ003,9,6,6,6,6
2,QFSJZ003,13,6,6,4,4
2,SLT0003,4,6,6,6,6
2,SLT0003,9,6,6,6,6
2,SLT0003,13,6,6,5,5
2,SLT0004,4,6,6,6,6
2,SLT0004,9,6,6,6,6
2,SLT0004,13,6,6,4,4
2,SRPDZS0002,4,6,6,6,6
2,SRPDZS0002,9,6,6,3,3
2,SRPDZS0002,13,6,6,2,2
2,XGX9992,4,6,6,1,1
2,XGX9992,9,6,2,0,0
2,XGX9992,13,6,2,0,0
2,XGX9993,4,6,6,1,1
2,XGX9993,9,6,2,0,0
2,XGX9993,13,6,2,0,0
2,XYMLRY00001,4,6,6,6,5
2,XYMLRY00001,9,6,2,2,1
2,XYMLRY00001,13,6,2,1,0
2,YDBZLV0001AMDE,4,6,6,6,6
2,YDBZLV0001AMDE,9,6,6,6,6
2,YDBZLV0001AMDE,13,6,6,4,4
2,YDBZWV0001AMDE,4,6,6,6,6
2,YDBZWV0001AMDE,9,6,6,5,5
2,YDBZWV0001AMDE,13,6,6,4,4
2,YJX0024,4,6,6,6,6
2,YJX0024,9,6,6,4,4
2,YJX0024,13,6,6,2,2
2,YJX0025,4,6,6,6,6
2,YJX0025,9,6,6,4,4
2,YJX0025,13,6,6,2,2
2,YXBLJ0001,4,6,6,6,6
2,YXBLJ0001,9,6,6,4,4
2,YXBLJ0001,13,6,6,3,3
2,ZBTZ0003,4,6,6,6,6
2,ZBTZ0003,9,6,6,6,6
2,ZBTZ0003,13,6,6,4,4
2,ZJJSJBV001AMDE,4,6,6,6,6
2,ZJJSJBV001AMDE,9,6,6,6,6
2,ZJJSJBV001AMDE,13,6,6,5,5
2,ZJJYZSJBV1AMDE,4,6,6,6,6
2,ZJJYZSJBV1AMDE,9,6,6,6,6
2,ZJJYZSJBV1AMDE,13,6,6,5,5
2,ZJJYZSJSV2AMDE,4,6,6,5,5
2,ZJJYZSJSV2AMDE,9,6,6,5,5
2,ZJJYZSJSV2AMDE,13,6,6,5,5
2,xgx0013,4,6,6,4,4
2,xgx0013,9,6,2,1,1
2,xgx0013,13,6,2,1,0
2,zxy0002,4,6,6,2,2
2,zxy0002,9,6,2,1,1
2,zxy0002,13,6,2,0,0
