horizon_weeks,sku,origin,full_cluster,calendar_group,dynamic_cluster,tail_rank,actual_sum,mase_52_model,forecast_sum_model,mase_52_ma4,forecast_sum_ma4,method,metric,cohort,delta,ae_model,ae_ma4
4,ZJJYZBV001AMDE,2025-08-11,1,only_2024_2025,1,5,15.0,3.005366726296959,4.23076923076923,3.069767441860465,4.0,BlockFrequencyMean,mase_52,active120,-0.0644007155635058,,
4,JZJ0005,2025-09-08,1,only_2024_2025,1,4,0.0,1.1320754716981132,5.0,0.2264150943396226,1.0,BlockFrequencyMean,mase_52,active120,0.9056603773584906,,
4,QFSJZ001-1,2025-09-08,1,only_2024_2025,2,4,9.0,5.969230769230769,1.5384615384615383,0.0,9.0,BlockFrequencyMean,mase_52,active120,5.969230769230769,,
4,FRH0002,2025-09-08,1,only_2024_2025,1,4,0.0,1.325874125874126,6.076923076923077,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.325874125874126,,
4,FRW0017,2025-09-08,1,only_2024_2025,2,4,0.0,0.9230769230769232,0.6153846153846154,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.9230769230769232,,
4,YBB0001,2025-09-08,1,only_2024_2025,2,4,5.0,1.7999999999999998,2.0,9.0,20.0,BlockFrequencyMean,mase_52,active120,-7.2,,
4,LRKF0001,2025-09-08,1,only_2024_2025,1,4,0.0,1.0573426573426574,4.846153846153847,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.0573426573426574,,
4,QCSSXC0006,2025-09-08,1,only_2024_2025,1,4,19.0,6.215384615384616,3.4615384615384617,2.8,12.0,BlockFrequencyMean,mase_52,active120,3.4153846153846166,,
4,FRH0004,2025-09-08,1,only_2024_2025,1,4,0.0,2.32967032967033,4.0769230769230775,0.0,0.0,BlockFrequencyMean,mase_52,active120,2.32967032967033,,
4,FRC0002,2025-09-08,1,only_2024_2025,1,4,0.0,1.2781065088757395,1.3846153846153846,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.2781065088757395,,
4,JZQCQ004,2025-09-08,1,only_2024_2025,1,4,0.0,0.6982248520710059,4.538461538461538,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.6982248520710059,,
4,FRH0040,2025-09-08,1,only_2024_2025,1,4,0.0,1.0624092888243832,4.6923076923076925,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.0624092888243832,,
4,ZJJSJSV001AMDE,2025-09-08,1,only_2024_2025,1,4,0.0,1.557692307692308,4.153846153846154,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.557692307692308,,
4,QCCXC0005,2025-09-08,1,only_2024_2025,1,4,4.0,0.857918552036199,10.076923076923077,2.117647058823529,19.0,BlockFrequencyMean,mase_52,active120,-1.2597285067873298,,
4,QCSSXC0005,2025-09-08,1,only_2024_2025,1,4,38.0,12.863523573200991,4.769230769230769,8.129032258064516,17.0,BlockFrequencyMean,mase_52,active120,4.734491315136475,,
4,YKLLW0005,2025-09-08,1,only_2024_2025,1,4,0.0,0.5027472527472527,4.6923076923076925,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.5027472527472527,,
4,FRH0045,2025-09-08,1,only_2024_2025,1,4,0.0,0.586628324946082,5.230769230769231,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.586628324946082,,
4,FRH0001,2025-09-08,1,only_2024_2025,1,4,0.0,2.353846153846154,7.846153846153847,0.0,0.0,BlockFrequencyMean,mase_52,active120,2.353846153846154,,
4,FRH0003,2025-09-08,1,only_2024_2025,1,4,0.0,2.126696832579185,18.07692307692308,0.0,0.0,BlockFrequencyMean,mase_52,active120,2.126696832579185,,
4,GJMJSLW001,2025-09-08,1,only_2024_2025,1,4,0.0,0.5792462570986061,14.384615384615383,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.5792462570986061,,
4,JZJ0008,2025-09-08,1,only_2024_2025,1,4,21.0,1.230769230769231,12.999999999999998,0.4615384615384615,18.0,BlockFrequencyMean,mase_52,active120,0.7692307692307696,,
4,JZQCQ001,2025-09-08,1,only_2024_2025,1,4,0.0,1.688004303388919,40.23076923076923,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.688004303388919,,
4,JZQCQ003,2025-09-08,1,only_2024_2025,1,4,0.0,1.112087912087912,38.92307692307692,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.112087912087912,,
4,QCCXC0007,2025-09-08,1,only_2024_2025,1,4,13.0,0.3511705685618728,18.384615384615383,0.1956521739130434,10.0,BlockFrequencyMean,mase_52,active120,0.15551839464882938,,
4,QCXDS001,2025-09-08,1,only_2024_2025,1,4,0.0,0.5934065934065933,10.384615384615383,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.5934065934065933,,
4,ZJJYZBV001AMDE,2025-09-08,1,only_2024_2025,1,4,2.0,0.5610859728506786,4.384615384615384,3.0588235294117645,15.0,BlockFrequencyMean,mase_52,active120,-2.497737556561086,,
4,JZJ0005,2025-10-06,1,only_2024_2025,1,3,0.0,1.1111111111111112,5.0,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.1111111111111112,,
4,QFSJZ001-1,2025-10-06,1,only_2024_2025,2,3,21.0,15.015384615384615,2.230769230769231,9.6,9.0,BlockFrequencyMean,mase_52,active120,5.415384615384616,,
4,FRH0002,2025-10-06,1,only_2024_2025,1,3,0.0,1.1623931623931625,5.230769230769231,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.1623931623931625,,
4,YBB0001,2025-10-06,1,only_2024_2025,1,3,2.0,0.131868131868132,2.384615384615385,1.0285714285714287,5.0,BlockFrequencyMean,mase_52,active120,-0.8967032967032966,,
4,LRKF0001,2025-10-06,1,only_2024_2025,1,3,0.0,1.1868131868131868,4.153846153846154,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.1868131868131868,,
4,QCSSXC0006,2025-10-06,1,only_2024_2025,1,3,13.0,2.6195426195426195,4.9230769230769225,1.9459459459459456,19.0,BlockFrequencyMean,mase_52,active120,0.6735966735966739,,
4,SPH0001,2025-10-06,1,only_2024_2025,0,3,7.0,2.729096989966555,1.7692307692307694,8.347826086956522,23.0,BlockFrequencyMean,mase_52,active120,-5.618729096989966,,
4,FRH0004,2025-10-06,1,only_2024_2025,1,3,0.0,1.476923076923077,2.4615384615384617,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.476923076923077,,
4,FRC0002,2025-10-06,1,only_2024_2025,1,3,0.0,0.9230769230769232,0.3846153846153846,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.9230769230769232,,
4,JZQCQ004,2025-10-06,1,only_2024_2025,1,3,0.0,0.6982248520710059,4.538461538461538,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.6982248520710059,,
4,FRH0040,2025-10-06,1,only_2024_2025,1,3,0.0,0.9753265602322208,4.307692307692308,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.9753265602322208,,
4,WSJZS0004,2025-10-06,1,only_2024_2025,0,3,71.0,18.89087656529517,3.307692307692308,7.813953488372093,43.0,BlockFrequencyMean,mase_52,active120,11.076923076923077,,
4,ZJJSJSV001AMDE,2025-10-06,1,only_2024_2025,1,3,0.0,1.6856187290969902,3.2307692307692317,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.6856187290969902,,
4,WSJZS0002,2025-10-06,1,only_2024_2025,0,3,39.0,28.32692307692308,1.2307692307692308,17.25,16.0,BlockFrequencyMean,mase_52,active120,11.07692307692308,,
4,QCCXC0005,2025-10-06,1,only_2024_2025,1,3,0.0,1.2461538461538462,10.384615384615383,0.48,4.0,BlockFrequencyMean,mase_52,active120,0.7661538461538462,,
4,QCSSXC0005,2025-10-06,1,only_2024_2025,1,3,0.0,1.775147928994083,7.6923076923076925,8.76923076923077,38.0,BlockFrequencyMean,mase_52,active120,-6.994082840236687,,
