sku,full_cluster,min,max,size,calendar_group
xgx0013,2,2026-01-05,2026-07-27,30,only_2026
FRH0029,2,2024-01-01,2025-12-22,104,only_2024_2025
QFSJZ001-1,1,2024-01-01,2025-12-22,104,only_2024_2025
LTKF0008,2,2024-01-01,2025-12-22,104,only_2024_2025
FRC0003,1,2024-01-01,2026-07-27,135,across_2024_2026
ZJJYZSJBV1AMDE,2,2024-01-01,2025-12-22,104,only_2024_2025
DRMJJ0021,2,2024-01-01,2026-07-27,135,across_2024_2026
XFTW0001,1,2026-01-05,2026-07-27,30,only_2026
FRW0009,2,2024-01-01,2026-07-27,135,across_2024_2026
FRW00023,2,2026-01-05,2026-07-27,30,only_2026
QCXXC0001,2,2024-01-01,2025-12-22,104,only_2024_2025
FRH0049,2,2024-01-01,2025-12-22,104,only_2024_2025
SLT0004,2,2024-01-01,2026-07-27,135,across_2024_2026
ZJJSJBV001AMDE,2,2024-01-01,2025-12-22,104,only_2024_2025
DRMJJ0038,2,2026-01-05,2026-07-27,30,only_2026
LTKF0111,2,2024-01-01,2026-07-27,135,across_2024_2026
XYMLRY00001,2,2026-01-05,2026-07-27,30,only_2026
FRW0013,1,2024-01-01,2025-12-22,104,only_2024_2025
DRMJJ0025,2,2024-01-01,2026-07-27,135,across_2024_2026
CLSSLT0006,2,2024-01-01,2026-07-27,135,across_2024_2026
JZJ0004,2,2024-01-01,2025-12-22,104,only_2024_2025
SRPDZS0002,2,2024-01-01,2025-12-22,104,only_2024_2025
DRMJJ0039,2,2026-01-05,2026-07-27,30,only_2026
FRH0002,1,2024-01-01,2025-12-22,104,only_2024_2025
ZBTZ0002,1,2024-01-01,2026-07-27,135,across_2024_2026
LTKF0019,1,2024-01-01,2026-07-27,135,across_2024_2026
FRH0044,2,2024-01-01,2026-07-27,135,across_2024_2026
LTKF0002,2,2024-01-01,2025-12-22,104,only_2024_2025
KZCWBG001,1,2024-01-01,2026-07-27,135,across_2024_2026
LTKF093,1,2024-01-01,2026-07-27,135,across_2024_2026
FRH0047,2,2024-01-01,2025-12-22,104,only_2024_2025
FRW0016,2,2024-01-01,2025-12-22,104,only_2024_2025
FRW0017,1,2024-01-01,2025-12-22,104,only_2024_2025
LTKF0009,2,2024-01-01,2025-12-22,104,only_2024_2025
LTKF098B,1,2026-01-05,2026-07-27,30,only_2026
YBB0001,1,2024-01-01,2025-12-22,104,only_2024_2025
QFDNZGJK002,1,2026-01-05,2026-07-27,30,only_2026
DHZXCZP0001,1,2024-01-01,2026-07-27,135,across_2024_2026
LRKF0001,1,2024-01-01,2025-12-22,104,only_2024_2025
ETZP0004,1,2024-01-01,2026-07-27,135,across_2024_2026
ZTD0001,1,2024-01-01,2026-07-27,135,across_2024_2026
FZLRJ0005,1,2026-01-05,2026-07-27,30,only_2026
ETZP0003,1,2024-01-01,2026-07-27,135,across_2024_2026
FRH0064,1,2024-01-01,2026-07-27,135,across_2024_2026
