cohort,horizon_weeks,method,metric,n_pairs,n_skus,delta,ci_low,ci_high,pair_win_share,pair_tie_share,mean_model,median_model,bias_model,under_units_model,over_units_model,mase_lt1_model,mean_ma4,median_ma4,bias_ma4,under_units_ma4,over_units_ma4,mase_lt1_ma4,rmsse_model,rmsse_ma4
active120,13,LaplaceMean,scaled_squared_error,445,96,11.658266518154042,4.310549169125425,22.85976504964388,0.4067415730337079,0.0022471910112359553,85.09092459774435,0.5474195710455765,-0.3437083438791867,12302.519444444444,4607.233333333334,,73.43265807959031,0.4716157205240175,0.025716683788169787,6888.416666666666,7464.1875,,9.224474217956509,8.5692857391728
active120,13,LegacyPXQ,mase_52,445,96,0.3658319584138396,0.09251278950258834,0.6808920689026989,0.4202247191011236,0.10337078651685393,4.131863279866661,1.000945179584121,-0.04020408839132633,8358.586717523645,7458.457382530241,0.49887640449438203,3.7660313214528216,0.8482758620689654,0.025716683788169787,6888.416666666666,7464.1875,0.5258426966292135,,
active120,13,LegacyPXQ,mase_full,448,96,0.45336123784890997,-0.03491415409371375,1.0282076335902317,0.4174107142857143,0.109375,6.729709347739051,1.3257612737452433,-0.04020408839132634,8358.586717523645,7458.457382530241,,6.276348109890141,1.1335349355403468,0.025716683788169787,6888.416666666666,7464.1875,,,
active120,13,LegacyPXQ,ae,468,116,0.5795109929452975,-4.687155709506761,6.722606514597388,0.4252136752136752,0.10683760683760683,32.79296585405641,16.366666666666664,-0.03937000618848305,8597.51572185265,7690.509519282377,,32.21345486111111,16.625,0.035051689961512866,7117.416666666666,7924.9375,,,
active120,13,LegacyPXQ,scaled_squared_error,445,96,7.263297239923664,0.8277686387059561,16.209217795400424,0.4202247191011236,0.10337078651685393,80.69595531951397,0.6804210648216595,-0.04020408839132633,8358.586717523645,7458.457382530241,,73.43265807959031,0.4716157205240175,0.025716683788169787,6888.416666666666,7464.1875,,8.983092748019136,8.5692857391728
active120,13,Naive,mase_52,445,96,0.48714272490937355,-0.4050759217193264,1.1947950514893082,0.2876404494382023,0.2606741573033708,4.2531740463621945,1.0769230769230769,-0.015811335923891195,8697.0,8343.0,0.47415730337078654,3.7660313214528216,0.8482758620689654,0.025716683788169787,6888.416666666666,7464.1875,0.5258426966292135,,
active120,13,Naive,mase_full,448,96,0.6412471335785943,-1.0475830380986888,1.8697376345397725,0.2857142857142857,0.265625,6.917595243468735,1.4143266060364503,-0.015811335923891195,8697.0,8343.0,,6.276348109890141,1.1335349355403468,0.025716683788169787,6888.416666666666,7464.1875,,,
active120,13,Naive,ae,624,120,5.116869212962962,1.807837094907408,8.710787760416666,0.21955128205128205,0.4326923076923077,33.12222222222222,15.0,-0.0790302267002519,11195.0,9187.0,,28.00535300925926,12.5,-0.049983436975230895,9316.166666666666,8046.1875,,,
active120,13,Naive,scaled_squared_error,445,96,-7.773523482100134,-36.32483302754168,9.315886877681928,0.2876404494382023,0.2606741573033708,65.65913459749017,0.6870003902918516,-0.015811335923891195,8697.0,8343.0,,73.43265807959031,0.4716157205240175,0.025716683788169787,6888.416666666666,7464.1875,,8.103032432212657,8.5692857391728
active120,13,FullHistoryMean,mase_52,445,96,0.8427823488054963,0.4964492690793535,1.2442949412440507,0.4067415730337079,0.0,4.608813670258319,1.0121951219512195,-0.49811859760355676,14447.341765873018,3294.9644841269837,0.4966292134831461,3.7660313214528216,0.8482758620689654,0.025716683788169787,6888.416666666666,7464.1875,0.5258426966292135,,
