sku,full_cluster,calendar_group,horizon_weeks,approximate_days,origin,tail_rank,origin_index,training_weeks,complete_future_weeks,eligibility
CLSSLT0003,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
xgx0016,1,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
BLP0002,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
FRH0028,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
JZJ00011,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
YJLZHMV000AMDE,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
FZLRICBHP0001,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
KFYFQ51mm,1,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
ZBTZ0003,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
SLT0003,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
FRH0050,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
JZJ0014,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
JZJ0016,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
xgx0013,2,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
FRC0003,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
DRMJJ0021,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
XFTW0001,1,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
FRW0009,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
FRW00023,2,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
SLT0004,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
DRMJJ0038,2,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
LTKF0111,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
XYMLRY00001,2,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
DRMJJ0025,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
CLSSLT0006,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
DRMJJ0039,2,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
ZBTZ0002,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
LTKF0019,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
FRH0044,2,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
KZCWBG001,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
LTKF093,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
LTKF098B,1,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
QFDNZGJK002,1,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
DHZXCZP0001,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
ETZP0004,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
ZTD0001,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
FZLRJ0005,1,only_2026,13,91,2025-02-03,6,1,0,0,training_missing_or_less_than_4_weeks
ETZP0003,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
FRH0064,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
LTKF0047,1,across_2024_2026,13,91,2025-02-03,6,1,57,13,eligible
