full_cluster,horizon_weeks,dimension,layer,metric,n,n_skus,mean_model,mean_ma4,delta,ci_low,ci_high,pair_win_share,pair_tie_share
1,13,calendar_group,across_2024_2026,ae,326,66,38.7913247053872,36.78101325757576,2.010311447811448,-3.993291245791246,8.717078993055555,0.46932515337423314,0.006134969325153374
1,13,calendar_group,across_2024_2026,mase_52,326,66,3.629758415752589,3.336929879176843,0.2928285365757466,0.04865651420678899,0.5677893428659783,0.46932515337423314,0.006134969325153374
1,13,calendar_group,only_2024_2025,ae,119,30,34.209953703703704,20.74504629629629,13.464907407407408,2.052032407407408,25.532099537037034,0.16806722689075632,0.0
1,13,calendar_group,only_2024_2025,mase_52,119,30,6.287688205828,4.7100544944599765,1.5776337113680232,0.7916830137134354,2.4928249822176447,0.16806722689075632,0.0
1,13,calendar_group,only_2026,ae,19,19,24.18421052631579,35.19736842105263,-11.013157894736842,-24.224671052631578,1.649013157894733,0.5789473684210527,0.0
2,4,calendar_group,across_2024_2026,ae,204,34,1.3699095022624435,1.2352941176470589,0.13461538461538464,-0.05807880844645553,0.32428355957767724,0.39705882352941174,0.0196078431372549
2,4,calendar_group,across_2024_2026,mase_52,204,34,1.1866239009759574,1.0855698421375817,0.1010540588383758,-0.044554241159774195,0.24081921214100216,0.39705882352941174,0.0196078431372549
2,4,calendar_group,only_2024_2025,ae,185,35,1.1677655677655678,0.5142857142857142,0.6534798534798535,0.4793736263736264,0.8228992673992674,0.15675675675675677,0.0
2,4,calendar_group,only_2024_2025,mase_52,185,35,1.708625299440018,0.8711178038473055,0.8375074955927128,0.4900563151527529,1.3002087338092663,0.15675675675675677,0.0
2,4,calendar_group,only_2026,ae,27,8,3.2861458333333333,2.1625,1.1236458333333332,0.25916666666666666,2.145311631944444,0.37037037037037035,0.1111111111111111
2,4,calendar_group,only_2026,mase_52,24,8,3.947397911116661,2.628097111222111,1.3193007998945498,0.27970075540778666,2.657217565767565,0.4166666666666667,0.0
2,9,calendar_group,across_2024_2026,ae,178,34,2.8613725490196082,3.6791053921568624,-0.8177328431372549,-1.2339387254901963,-0.4158161764705882,0.5674157303370787,0.016853932584269662
2,9,calendar_group,across_2024_2026,mase_52,178,34,2.170134792564423,2.3646231937435447,-0.19448840117912164,-0.5277516244307942,0.14179375604529681,0.5674157303370787,0.016853932584269662
2,9,calendar_group,only_2024_2025,ae,168,35,3.2622857142857136,2.0591666666666666,1.2031190476190474,0.5677964285714285,1.8304934523809522,0.2261904761904762,0.0
2,9,calendar_group,only_2024_2025,mase_52,168,35,2.3213025945118293,1.6023678090198281,0.718934785492001,0.3250764463736682,1.1768525472257214,0.2261904761904762,0.0
2,9,calendar_group,only_2026,ae,9,6,5.0,3.8125,1.1875,-1.4375,3.855729166666665,0.4444444444444444,0.1111111111111111
2,9,calendar_group,only_2026,mase_52,6,6,2.15,1.5125,0.6375000000000001,-0.254375,1.3666666666666665,0.16666666666666666,0.16666666666666666
2,13,calendar_group,across_2024_2026,ae,131,34,3.9216911764705884,6.319362745098039,-2.3976715686274512,-3.70515012254902,-1.4131832107843139,0.6412213740458015,0.015267175572519083
2,13,calendar_group,across_2024_2026,mase_52,131,34,2.8062620543386037,2.874725444909174,-0.06846339057057092,-0.5795077260662013,0.3951951540538946,0.6412213740458015,0.015267175572519083
2,13,calendar_group,only_2024_2025,ae,141,35,3.7503174603174605,3.703690476190476,0.04662698412698408,-1.7577926587301589,1.3673501984126983,0.3049645390070922,0.0
2,13,calendar_group,only_2024_2025,mase_52,141,35,2.512563136466038,2.126052335508641,0.3865108009573976,-0.10801693554525414,1.037602478703577,0.3049645390070922,0.0
2,13,calendar_group,only_2026,ae,4,4,8.75,7.75,1.0,-0.625,3.125,0.25,0.0
1,4,dynamic_cluster,0,ae,36,29,15.057568523430593,13.113793103448277,1.9437754199823165,-1.7297504420866487,5.79192374005305,0.19444444444444445,0.3055555555555556
1,4,dynamic_cluster,0,mase_52,25,20,10.616765852368335,8.841043231644283,1.7757226207240513,-0.014845718497749112,3.888389652014653,0.28,0.0
1,4,dynamic_cluster,1,ae,575,116,10.736614076775712,9.491037219485495,1.2455768572902188,-0.669576157648625,3.197023162182645,0.34956521739130436,0.008695652173913044
1,4,dynamic_cluster,1,mase_52,574,116,1.2224480750096611,1.2359535973791158,-0.013505522369454499,-0.22308460025315585,0.1913635014395394,0.3501742160278746,0.006968641114982578
1,4,dynamic_cluster,2,ae,53,29,7.903337754199823,6.136494252873563,1.76684350132626,0.3047877984084881,3.1555238726790447,0.3018867924528302,0.03773584905660377
1,4,dynamic_cluster,2,mase_52,52,29,3.165530955531635,2.547959021595079,0.6175719339365562,-0.1427622345756752,1.34621740761955,0.3076923076923077,0.019230769230769232
1,9,dynamic_cluster,0,ae,32,28,21.17142857142857,16.214285714285715,4.957142857142857,1.833928571428572,8.523660714285713,0.125,0.0
1,9,dynamic_cluster,0,mase_52,27,24,23.339433485618144,18.266644538283163,5.072788947334983,3.716078173908896,6.382949735449736,0.07407407407407407,0.0
1,9,dynamic_cluster,1,ae,427,111,24.688783783783784,25.968524774774778,-1.2797409909909911,-6.452904185435436,3.1101086711711714,0.41920374707259955,0.0
1,9,dynamic_cluster,1,mase_52,414,111,1.8527483919319507,1.8933470064107647,-0.04059861447881371,-0.35620124272283066,0.28009486621994834,0.41545893719806765,0.0
