sku,n,mean_delta,method,metric,cohort,horizon_weeks
GJMJWJX001,6,33.48717948717949,BlockFrequencyMean,ae,active120,4
GJMJWJXW001,6,46.98717948717948,BlockFrequencyMean,ae,active120,4
HLGKSLT0001,6,1.6410256410256405,BlockFrequencyMean,ae,active120,4
HWZDSKL0001,6,1.602564102564102,BlockFrequencyMean,ae,active120,4
HZSN0001,6,-0.08333333333333422,BlockFrequencyMean,ae,active120,4
JZJ00011,6,1.7692307692307694,BlockFrequencyMean,ae,active120,4
JZJ00012,6,4.41025641025641,BlockFrequencyMean,ae,active120,4
JZJ0002,6,3.1538461538461533,BlockFrequencyMean,ae,active120,4
JZJ0003,6,19.948717948717945,BlockFrequencyMean,ae,active120,4
JZJ0005,6,1.1025641025641029,BlockFrequencyMean,ae,active120,4
JZJ0008,6,4.4230769230769225,BlockFrequencyMean,ae,active120,4
JZJ0009,6,-1.7692307692307734,BlockFrequencyMean,ae,active120,4
JZJ0013,6,18.897435897435898,BlockFrequencyMean,ae,active120,4
JZJ0016,6,-3.0608974358974357,BlockFrequencyMean,ae,active120,4
JZJ0018,6,0.44871794871794873,BlockFrequencyMean,ae,active120,4
JZJ0019,6,-3.32051282051282,BlockFrequencyMean,ae,active120,4
JZQCQ001,6,39.43589743589744,BlockFrequencyMean,ae,active120,4
JZQCQ003,6,36.03846153846154,BlockFrequencyMean,ae,active120,4
JZQCQ004,6,0.9487179487179486,BlockFrequencyMean,ae,active120,4
KFYFQ51mm,6,-2.431944444444445,BlockFrequencyMean,ae,active120,4
KFYFQ54mm,5,-5.4766666666666675,BlockFrequencyMean,ae,active120,4
KFYFQ58mm,6,-3.8236111111111115,BlockFrequencyMean,ae,active120,4
KZCWBG001,6,-2.0000000000000004,BlockFrequencyMean,ae,active120,4
LRKF0001,5,4.230769230769232,BlockFrequencyMean,ae,active120,4
LTKF0019,6,0.6923076923076924,BlockFrequencyMean,ae,active120,4
LTKF0020,6,-20.269230769230766,BlockFrequencyMean,ae,active120,4
LTKF0021,6,1.8717948717948716,BlockFrequencyMean,ae,active120,4
LTKF0022M,6,-1.0128205128205132,BlockFrequencyMean,ae,active120,4
LTKF0031,6,6.0769230769230775,BlockFrequencyMean,ae,active120,4
LTKF0047,6,-2.576923076923077,BlockFrequencyMean,ae,active120,4
LTKF0101,6,0.974358974358973,BlockFrequencyMean,ae,active120,4
LTKF093,6,-4.102564102564102,BlockFrequencyMean,ae,active120,4
LTKF098,6,-2.567307692307692,BlockFrequencyMean,ae,active120,4
LTKF098B,6,-1.2666666666666666,BlockFrequencyMean,ae,active120,4
LYC0201,6,-2.0384615384615388,BlockFrequencyMean,ae,active120,4
NNB0002,6,0.7083333333333339,BlockFrequencyMean,ae,active120,4
NNBZL01,4,-1.0249999999999992,BlockFrequencyMean,ae,active120,4
QCCXC0004,5,-0.12307692307692311,BlockFrequencyMean,ae,active120,4
QCCXC0005,6,3.935897435897435,BlockFrequencyMean,ae,active120,4
QCCXC0007,6,5.128205128205129,BlockFrequencyMean,ae,active120,4
QCSSXC0005,6,2.6282051282051286,BlockFrequencyMean,ae,active120,4
QCSSXC0006,6,2.807692307692308,BlockFrequencyMean,ae,active120,4
QCXDS001,6,9.628205128205128,BlockFrequencyMean,ae,active120,4
QFDNZGJK001,6,1.75,BlockFrequencyMean,ae,active120,4
QFDNZGJK002,5,1.3333333333333335,BlockFrequencyMean,ae,active120,4
QFSJZ001-1,6,0.4487179487179489,BlockFrequencyMean,ae,active120,4
QFSJZ003-1,6,1.7564102564102564,BlockFrequencyMean,ae,active120,4
RLHZHMV000AMDE,6,-3.025641025641024,BlockFrequencyMean,ae,active120,4
SKZ2FT01,2,1.083333333333333,BlockFrequencyMean,ae,active120,4
SKZ3FT01,2,-4.9833333333333325,BlockFrequencyMean,ae,active120,4
SPH0001,3,-4.384615384615384,BlockFrequencyMean,ae,active120,4
WSJZS0002,3,-5.256410256410256,BlockFrequencyMean,ae,active120,4
WSJZS0004,3,-4.589743589743588,BlockFrequencyMean,ae,active120,4
XFTW0001,3,-0.18888888888888897,BlockFrequencyMean,ae,active120,4
XGX9995,1,-11.666666666666668,BlockFrequencyMean,ae,active120,4
XHP0001,6,-45.56410256410257,BlockFrequencyMean,ae,active120,4
XHZXCZP0001,6,3.589743589743591,BlockFrequencyMean,ae,active120,4
XHZXCZP0002,6,0.669871794871795,BlockFrequencyMean,ae,active120,4
XMJ0004,4,-3.583333333333333,BlockFrequencyMean,ae,active120,4
XMSH0001,6,-3.1666666666666665,BlockFrequencyMean,ae,active120,4
XXGP0002,4,1.7791666666666668,BlockFrequencyMean,ae,active120,4
XYJ0001,5,-2.3400000000000003,BlockFrequencyMean,ae,active120,4
XYMGPD0001,6,3.369444444444445,BlockFrequencyMean,ae,active120,4
XYMGPD0002,5,1.9666666666666663,BlockFrequencyMean,ae,active120,4
XYMZG0016,1,-5.166666666666667,BlockFrequencyMean,ae,active120,4
YBB0001,5,-2.338461538461538,BlockFrequencyMean,ae,active120,4
YDBZ001,6,1.2820512820512822,BlockFrequencyMean,ae,active120,4
YDBZ002,6,3.3205128205128207,BlockFrequencyMean,ae,active120,4
YEC0009,6,-1.388888888888889,BlockFrequencyMean,ae,active120,4
YJLZHMV000AMDE,6,0.1794871794871796,BlockFrequencyMean,ae,active120,4
YKLLW0005,6,4.025641025641026,BlockFrequencyMean,ae,active120,4
ZBTZ0002,6,-1.6282051282051284,BlockFrequencyMean,ae,active120,4
ZJJSJSV001AMDE,6,3.294871794871795,BlockFrequencyMean,ae,active120,4
ZJJYZBV001AMDE,6,-1.012820512820513,BlockFrequencyMean,ae,active120,4
ZJJYZSJSV1AMDE,2,3.269230769230769,BlockFrequencyMean,ae,active120,4
ZTD0001,6,2.141025641025641,BlockFrequencyMean,ae,active120,4
ZTD0003,6,0.5213675213675214,BlockFrequencyMean,ae,active120,4
xgx0014,6,-0.6694444444444444,BlockFrequencyMean,ae,active120,4
xgx0015,6,-1.1138888888888887,BlockFrequencyMean,ae,active120,4
xgx0016,6,-0.008333333333333451,BlockFrequencyMean,ae,active120,4
xymzd0015,6,1.9749999999999999,BlockFrequencyMean,ae,active120,4
BLP0001,6,-0.5331909847810284,MatchedHistoryMean,mase_52,active120,4
BLP0002,6,-0.27524947173005426,MatchedHistoryMean,mase_52,active120,4
CWW0002,6,0.7172866671927919,MatchedHistoryMean,mase_52,active120,4
DHZXCZP0001,6,0.2515391914848437,MatchedHistoryMean,mase_52,active120,4
DRMJJ0022,6,-0.17656144975198462,MatchedHistoryMean,mase_52,active120,4
DRMJJ0023,6,0.40175166918508437,MatchedHistoryMean,mase_52,active120,4
ETZP0003,6,-1.7894698793193207,MatchedHistoryMean,mase_52,active120,4
ETZP0004,6,0.1854447744422686,MatchedHistoryMean,mase_52,active120,4
FDBLHP0001,6,0.035235688573300894,MatchedHistoryMean,mase_52,active120,4
FDBLP0001,6,-0.35827998854939747,MatchedHistoryMean,mase_52,active120,4
FRC0002,4,1.142769422159843,MatchedHistoryMean,mase_52,active120,4
FRC0003,6,-0.6386437634039396,MatchedHistoryMean,mase_52,active120,4
FRH0001,6,2.1285455757206315,MatchedHistoryMean,mase_52,active120,4
FRH0002,6,1.2672380090510513,MatchedHistoryMean,mase_52,active120,4
FRH0003,6,2.091381804273565,MatchedHistoryMean,mase_52,active120,4
FRH0004,6,1.6864749285801919,MatchedHistoryMean,mase_52,active120,4
FRH0033,6,0.3315019708034586,MatchedHistoryMean,mase_52,active120,4
FRH0034,6,0.7306667255126981,MatchedHistoryMean,mase_52,active120,4
FRH0040,6,1.1624856516916877,MatchedHistoryMean,mase_52,active120,4
FRH0045,6,0.5856340994916567,MatchedHistoryMean,mase_52,active120,4
FRH0046,6,0.6851826863480958,MatchedHistoryMean,mase_52,active120,4
FRH0048,6,-0.0032255918749550436,MatchedHistoryMean,mase_52,active120,4
FRH0050,6,0.8124367939752556,MatchedHistoryMean,mase_52,active120,4
FRH0051,6,0.2463012821797106,MatchedHistoryMean,mase_52,active120,4
FRH0056,6,0.05970454923715776,MatchedHistoryMean,mase_52,active120,4
FRH0059,6,-0.13142692870614373,MatchedHistoryMean,mase_52,active120,4
FRH0064,6,1.09068170154143,MatchedHistoryMean,mase_52,active120,4
FRH0065,6,-0.31483278626135774,MatchedHistoryMean,mase_52,active120,4
FRW0005,6,-0.3057360879574503,MatchedHistoryMean,mase_52,active120,4
FRW0006,6,1.0496783377775045,MatchedHistoryMean,mase_52,active120,4
FRW0013,2,0.9650349650349652,MatchedHistoryMean,mase_52,active120,4
FRW0015,6,-0.3245511629186264,MatchedHistoryMean,mase_52,active120,4
FRW0017,3,1.0532544378698225,MatchedHistoryMean,mase_52,active120,4
FRW0024,6,-0.4306068257312039,MatchedHistoryMean,mase_52,active120,4
FZLRICBHP0001,6,-0.5893259127501195,MatchedHistoryMean,mase_52,active120,4
FZLRJ0001,6,-0.1964151726856677,MatchedHistoryMean,mase_52,active120,4
FZLRJ0002,6,0.6102759335057545,MatchedHistoryMean,mase_52,active120,4
FZLRJ0005,5,-0.13330827067669174,MatchedHistoryMean,mase_52,active120,4
GJMJSLW001,6,0.6543572174545028,MatchedHistoryMean,mase_52,active120,4
GJMJWJX001,6,1.1928830431966222,MatchedHistoryMean,mase_52,active120,4
GJMJWJXW001,6,0.738176876680167,MatchedHistoryMean,mase_52,active120,4
HLGKSLT0001,6,0.32754254645167546,MatchedHistoryMean,mase_52,active120,4
HWZDSKL0001,6,0.1834077188164336,MatchedHistoryMean,mase_52,active120,4
HZSN0001,6,-0.018613146131389844,MatchedHistoryMean,mase_52,active120,4
JZJ00011,6,0.26459353271953284,MatchedHistoryMean,mase_52,active120,4
JZJ00012,6,0.4429143397433422,MatchedHistoryMean,mase_52,active120,4
JZJ0002,6,0.2751692945898767,MatchedHistoryMean,mase_52,active120,4
JZJ0003,6,0.983422654903634,MatchedHistoryMean,mase_52,active120,4
JZJ0005,6,0.12080394503433267,MatchedHistoryMean,mase_52,active120,4
JZJ0008,6,0.6645580506195798,MatchedHistoryMean,mase_52,active120,4
JZJ0009,6,-0.09675159954665867,MatchedHistoryMean,mase_52,active120,4
JZJ0013,6,0.8980767721351844,MatchedHistoryMean,mase_52,active120,4
JZJ0016,6,-0.4539495280546477,MatchedHistoryMean,mase_52,active120,4
JZJ0018,6,0.09036418353366316,MatchedHistoryMean,mase_52,active120,4
JZJ0019,6,-0.4795574827497456,MatchedHistoryMean,mase_52,active120,4
JZQCQ001,6,1.8404679226937821,MatchedHistoryMean,mase_52,active120,4
JZQCQ003,6,1.0850182884990565,MatchedHistoryMean,mase_52,active120,4
JZQCQ004,6,0.06185172293769581,MatchedHistoryMean,mase_52,active120,4
KFYFQ51mm,5,-0.2853803811890264,MatchedHistoryMean,mase_52,active120,4
KFYFQ54mm,5,-0.2516529748692637,MatchedHistoryMean,mase_52,active120,4
KFYFQ58mm,5,-0.13659050987495955,MatchedHistoryMean,mase_52,active120,4
KZCWBG001,6,-0.6938232664075183,MatchedHistoryMean,mase_52,active120,4
LRKF0001,5,0.9969080919080919,MatchedHistoryMean,mase_52,active120,4
LTKF0019,6,0.5165272154745838,MatchedHistoryMean,mase_52,active120,4
LTKF0020,6,-0.3791356547764915,MatchedHistoryMean,mase_52,active120,4
LTKF0021,6,0.2918045037349838,MatchedHistoryMean,mase_52,active120,4
LTKF0022M,6,-0.12005570502544936,MatchedHistoryMean,mase_52,active120,4
LTKF0031,6,0.6938531925798174,MatchedHistoryMean,mase_52,active120,4
LTKF0047,6,-1.0008645200952893,MatchedHistoryMean,mase_52,active120,4
LTKF0101,6,0.024402259212262505,MatchedHistoryMean,mase_52,active120,4
LTKF093,6,-1.1201654156460468,MatchedHistoryMean,mase_52,active120,4
LTKF098,6,-0.3057682071917341,MatchedHistoryMean,mase_52,active120,4
LTKF098B,5,-0.27904527629233516,MatchedHistoryMean,mase_52,active120,4
LYC0201,6,-0.48991119991119986,MatchedHistoryMean,mase_52,active120,4
NNB0002,6,-0.16873702077666355,MatchedHistoryMean,mase_52,active120,4
NNBZL01,4,-0.051455764609832325,MatchedHistoryMean,mase_52,active120,4
QCCXC0004,5,-1.7538461538461536,MatchedHistoryMean,mase_52,active120,4
QCCXC0005,6,0.4821906117858848,MatchedHistoryMean,mase_52,active120,4
QCCXC0007,6,0.30219207121381025,MatchedHistoryMean,mase_52,active120,4
QCSSXC0005,6,1.3993813712218774,MatchedHistoryMean,mase_52,active120,4
QCSSXC0006,6,1.5444255807046507,MatchedHistoryMean,mase_52,active120,4
QCXDS001,6,0.6029146125717496,MatchedHistoryMean,mase_52,active120,4
QFDNZGJK001,5,0.3840740740740741,MatchedHistoryMean,mase_52,active120,4
QFDNZGJK002,5,0.1787878787878788,MatchedHistoryMean,mase_52,active120,4
QFSJZ001-1,6,1.655168905168905,MatchedHistoryMean,mase_52,active120,4
QFSJZ003-1,6,0.32386100386100386,MatchedHistoryMean,mase_52,active120,4
RLHZHMV000AMDE,6,-0.30612324529196117,MatchedHistoryMean,mase_52,active120,4
SKZ2FT01,2,1.3453703703703699,MatchedHistoryMean,mase_52,active120,4
SKZ3FT01,2,-0.25049019607843137,MatchedHistoryMean,mase_52,active120,4
SPH0001,3,-2.153503130091759,MatchedHistoryMean,mase_52,active120,4
WSJZS0002,3,0.3431952662721906,MatchedHistoryMean,mase_52,active120,4
WSJZS0004,3,0.4333694474539544,MatchedHistoryMean,mase_52,active120,4
XFTW0001,3,0.03851851851851851,MatchedHistoryMean,mase_52,active120,4
XGX9995,1,-4.166666666666666,MatchedHistoryMean,mase_52,active120,4
XHP0001,6,-0.8691666822250377,MatchedHistoryMean,mase_52,active120,4
XHZXCZP0001,6,0.1160512720432697,MatchedHistoryMean,mase_52,active120,4
XHZXCZP0002,6,0.2208733158392798,MatchedHistoryMean,mase_52,active120,4
XMJ0004,4,-0.1283646151607734,MatchedHistoryMean,mase_52,active120,4
XMSH0001,5,-0.11617860332686909,MatchedHistoryMean,mase_52,active120,4
XXGP0002,4,0.1540476190476191,MatchedHistoryMean,mase_52,active120,4
XYJ0001,5,-0.1601594202898552,MatchedHistoryMean,mase_52,active120,4
XYMGPD0001,5,0.758921568627451,MatchedHistoryMean,mase_52,active120,4
XYMGPD0002,5,0.45476190476190476,MatchedHistoryMean,mase_52,active120,4
XYMZG0016,1,-1.0333333333333332,MatchedHistoryMean,mase_52,active120,4
YBB0001,5,0.44045987388734564,MatchedHistoryMean,mase_52,active120,4
YDBZ001,6,0.18984680222763028,MatchedHistoryMean,mase_52,active120,4
YDBZ002,6,0.4486645924110119,MatchedHistoryMean,mase_52,active120,4
