cohort,horizon_weeks,method,metric,n_pairs,n_skus,delta,ci_low,ci_high,pair_win_share,pair_tie_share,mean_model,median_model,bias_model,under_units_model,over_units_model,mase_lt1_model,mean_ma4,median_ma4,bias_ma4,under_units_ma4,over_units_ma4,mase_lt1_ma4
active120,13,LegacyPXQ,mase_52,400,93,0.21180537389604015,-0.027837999325344327,0.49922472169479803,0.44,0.0925,3.2384958650439026,0.9623076923076931,-0.03418378402120837,7552.087902164524,6829.852913364433,0.51,3.026690491147862,0.92875,0.040890642748958726,6391.75,7255.6875,0.5075
active120,13,LegacyPXQ,mase_full,400,93,0.20313715965723736,-0.1939817274056684,0.6409684980314595,0.44,0.0925,5.07372998735332,1.3567993190040433,-0.03418378402120837,7552.087902164524,6829.852913364433,,4.870592827696082,1.2559474422064545,0.040890642748958726,6391.75,7255.6875,
active120,13,LegacyPXQ,ae,420,113,-0.8974885562693594,-6.075156486373366,4.839621203511115,0.44761904761904764,0.09047619047619047,31.69990266791943,16.50793650793651,-0.03348082180176143,7791.016906493529,7061.905050116569,,32.59739122418879,17.5,0.05031397805023649,6620.75,7716.4375,
active120,13,Naive,mase_52,400,93,0.42080452240269484,-0.1940078903398868,0.9334219768150205,0.2975,0.25,3.4474950135505584,1.133406191226554,0.06138773191972738,7599.0,8896.0,0.46,3.026690491147862,0.92875,0.040890642748958726,6391.75,7255.6875,0.5075
active120,13,Naive,mase_full,400,93,0.5971639401876719,-0.36134528059684723,1.4254359285849845,0.2975,0.25,5.467756767883754,1.5444705882352943,0.06138773191972738,7599.0,8896.0,,4.870592827696082,1.2559474422064545,0.040890642748958726,6391.75,7255.6875,
active120,13,Naive,ae,534,120,5.812586805555556,2.5255078124999994,9.426041666666665,0.2397003745318352,0.3913857677902622,34.672222222222224,18.0,0.007794628484283657,9556.0,9740.0,,28.859635416666666,15.75,-0.01867374819961027,8278.5,7837.6875,
sparse77,4,BlockFrequencyMean,mase_52,228,42,0.3331010571347899,0.0730702039915164,0.6507777453705332,0.3991228070175439,0.017543859649122806,1.712485617193234,0.746407438715131,0.024174599090987042,168.5333333333333,175.76153846153846,0.6622807017543859,1.3793845600584442,0.6315789473684211,-0.016722408026755852,153.0,148.0,0.618421052631579
sparse77,4,BlockFrequencyMean,mase_full,228,42,0.3935763728114888,0.020790243564131172,0.8271298330892219,0.3991228070175439,0.017543859649122806,2.802175399949379,1.6153846153846154,0.024174599090987042,168.5333333333333,175.76153846153846,,2.4085990271378908,1.0185185185185186,-0.016722408026755852,153.0,148.0,
sparse77,4,BlockFrequencyMean,ae,252,42,0.1718050468050468,-0.0016032000407000552,0.356176867114367,0.3611111111111111,0.1111111111111111,1.4376780626780625,1.0384615384615383,-0.03334921012939589,186.5333333333333,175.76153846153846,,1.265873015873016,1.0,-0.07120743034055728,171.0,148.0,
sparse77,4,LaplaceMean,mase_52,228,42,0.29886328802058854,0.05763136880745205,0.5910306842820033,0.40350877192982454,0.0,1.6782478480790328,0.8,0.026657472497773508,167.07733645983646,175.04792073667073,0.6622807017543859,1.3793845600584442,0.6315789473684211,-0.016722408026755852,153.0,148.0,0.618421052631579
