origin_index,origin,cluster,pool_profile,model,n_sku_origins,n_valid_mase,mean_mase,median_mase,mase_lt_1_share,mean_mae,mean_sku_wape,median_sku_wape,aggregate_wape,aggregate_bias,actual_volume,mean_mase_rank,median_mase_rank
4,2026-02-16,2,highly_intermittent,MA4_proxy,43.0,43.0,4.540827128029673,3.4375,0.11627906976744186,0.9752906976744186,1.6659488038003663,1.0,1.6691542288557213,0.20398009950248755,201.0,3.0,4.0
4,2026-02-16,2,highly_intermittent,Naive,43.0,43.0,3.8933228586989457,2.0,0.3953488372093023,0.8343023255813954,1.303691620879121,1.0,1.427860696517413,0.07462686567164178,201.0,1.0,1.0
4,2026-02-16,2,highly_intermittent,SBA,43.0,43.0,3.969673646738141,2.3243273410422822,0.09302325581395349,0.7866652208402501,1.741667603132682,1.2644373426190079,1.3463325172589355,-0.06795927628477733,201.0,2.0,2.0
4,2026-02-16,2,highly_intermittent,SES,43.0,43.0,4.710987440682098,2.9513646381711878,0.11627906976744186,0.999664111265438,1.8508821262542157,1.1231174257011172,1.7108679317179634,0.3387767487297463,201.0,4.0,3.0
5,2026-04-13,1,active_moderate_intermittent,ADIDA2,78.0,78.0,3.450126099720355,1.6249999999999991,0.2692307692307692,4.007186484661205,1.492255451261385,0.99999999001557,0.9119199002292459,-0.16313136096179803,2742.0,5.0,5.0
5,2026-04-13,1,active_moderate_intermittent,MA4_proxy,78.0,78.0,3.205190061802568,1.4612202380952382,0.358974358974359,3.8569711538461537,1.385858203765733,1.0,0.8777352297592997,-0.1601021152443472,2742.0,3.0,3.0
5,2026-04-13,1,active_moderate_intermittent,Naive,78.0,78.0,3.198236284076257,1.4704106280193237,0.3717948717948718,4.233974358974359,1.3988601832272896,1.0,0.9635302698760029,0.09117432530999271,2742.0,2.0,4.0
5,2026-04-13,1,active_moderate_intermittent,SBA,78.0,78.0,3.05101788489476,1.3879914162742364,0.32051282051282054,3.833852669003551,1.215211180011195,0.9506663820713036,0.8724741303640466,-0.27318719220451404,2742.0,1.0,2.0
5,2026-04-13,1,active_moderate_intermittent,SES,78.0,78.0,3.358109086628079,1.3873907600097637,0.38461538461538464,4.2322866507797885,1.3661554206178979,1.0,0.9631461962387265,0.048776901713514974,2742.0,4.0,1.0
5,2026-04-13,2,highly_intermittent,ADIDA2,34.0,34.0,2.6201650669859773,1.6664242754850829,0.20588235294117646,0.5865300240301542,1.7312660630277963,1.1344879921653135,1.3872710133582777,0.12003546951128734,115.0,5.0,4.0
5,2026-04-13,2,highly_intermittent,MA4_proxy,34.0,34.0,2.24594942586211,1.6167417417417416,0.38235294117647056,0.5073529411764706,1.5739387926887927,1.0,1.2,-0.043478260869565216,115.0,3.0,3.0
5,2026-04-13,2,highly_intermittent,Naive,34.0,34.0,1.7957895360514846,0.921875,0.5294117647058824,0.4742647058823529,1.3947811447811451,1.0,1.1217391304347826,-0.3739130434782609,115.0,1.0,1.0
5,2026-04-13,2,highly_intermittent,SBA,34.0,34.0,2.570904221363386,1.8001206249807997,0.17647058823529413,0.6041674003895948,1.8012988588521477,1.3662988227946302,1.428987242660607,0.018620511753068347,115.0,4.0,5.0
5,2026-04-13,2,highly_intermittent,SES,34.0,34.0,2.168571533883192,1.5244404931919044,0.23529411764705882,0.5025698947577513,1.5269076999609361,1.2001071911066878,1.1886870554270288,-0.06331715186996639,115.0,2.0,2.0
6,2026-06-08,1,active_moderate_intermittent,ADIDA2,76.0,76.0,2.0655374184731117,1.2771112113207357,0.3815789473684211,3.362513077206956,0.9042542476812067,0.793961484110811,0.7585929317038327,-0.06830030245151472,2695.0,2.0,2.0
6,2026-06-08,1,active_moderate_intermittent,MA4_proxy,76.0,76.0,2.0544405213842425,1.2961298076923078,0.39473684210526316,3.2458881578947367,0.9007115254998469,0.7857142857142857,0.7322820037105752,-0.07235621521335807,2695.0,1.0,3.0
6,2026-06-08,1,active_moderate_intermittent,Naive,76.0,76.0,2.5289682889511846,1.362676056338028,0.34210526315789475,3.633223684210526,1.097041670948698,1.0,0.8196660482374768,-0.08274582560296846,2695.0,5.0,4.0
6,2026-06-08,1,active_moderate_intermittent,SBA,76.0,76.0,2.118133433212397,1.2341429796839667,0.35526315789473684,3.3413306298541974,0.8511879878153257,0.8269860213060362,0.7538141087018004,-0.23291988905259084,2695.0,3.0,1.0
6,2026-06-08,1,active_moderate_intermittent,SES,76.0,76.0,2.4788156452864305,1.405730805216646,0.3815789473684211,3.4960977394769164,1.032107618474494,0.8495997648086688,0.7887300280526772,-0.0016591292022511874,2695.0,4.0,5.0
6,2026-06-08,2,highly_intermittent,ADIDA2,43.0,43.0,2.3528325943427117,1.4506578947368425,0.37209302325581395,0.5602300326132168,1.1860167131898212,1.0000000898598669,1.1336419483467448,-0.30473178246515725,170.0,1.0,1.0
6,2026-06-08,2,highly_intermittent,MA4_proxy,43.0,43.0,2.421530712230769,1.75,0.37209302325581395,0.5625,1.693761612783352,1.0,1.138235294117647,-0.23529411764705882,170.0,2.0,5.0
6,2026-06-08,2,highly_intermittent,Naive,43.0,43.0,2.6447517013059314,1.4506578947368425,0.4418604651162791,0.6337209302325582,2.0247398736529174,1.0,1.2823529411764707,0.12941176470588237,170.0,5.0,1.0
6,2026-06-08,2,highly_intermittent,SBA,43.0,43.0,2.431599012613623,1.5061169893463568,0.27906976744186046,0.5875458303838643,1.3390452588400574,1.0666666690629298,1.1889162685414667,-0.19925806258003304,170.0,3.0,3.0
6,2026-06-08,2,highly_intermittent,SES,43.0,43.0,2.5564027917623253,1.596625994355185,0.37209302325581395,0.6076532763646907,1.6727458795046453,1.0784740585241548,1.2296042768791386,-0.016246737472049702,170.0,4.0,4.0
